Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
56,50,56.71,56.8,50.59,50.4,85,84.9,90.9,90.7,89.27,69.58,56.56,56.88,65.63,18.08,219.2,-171.7,54.81,53.49,2.847,1.528,57.26,3.366,1.045,267.2,215.1,7.6,3.2,42.9,37.9,94,112.2,6.3,48.5,5.7,128.5,34.5,74.3,66,63,19.22,8.328,8.116,20,0,117.4,112.4,142.4,102.4,5.9,6.4,48.38,0,100,25,49,56,23,55.93,81.05,58.33,57.74,17.28,68.33,202
58,50,56.75,56.9,50.59,50.6,85.12,84.8,90.94,90.7,89.35,69.62,56.56,56.92,64.64,17.61,219.5,-172.4,55.26,53.57,3.218,1.529,57.32,3.39,1.037,266.9,215.4,7.5,2.9,43.1,38.2,94.3,111.7,6.3,48.5,5.6,128.7,34.7,73.7,66,63,24.33,10.71,8.116,20,0,117.4,112.7,140.4,101.2,5.9,6.3,40.39,0,100,25,49,56,20,55.98,81.17,58.45,57.74,16.78,77.24,201.8
60,50,56.75,56.9,50.59,50.8,85.12,85.1,90.94,90.8,89.35,69.62,56.56,56.92,64.59,17.59,219.3,-172.3,55.61,53.91,3.238,1.539,57.37,3.408,1.032,266.7,216.8,7.5,3.2,42.9,38,94,112.2,6.3,48.5,5.4,129,34.7,74.5,67,64,25.78,11.35,8.015,20,0,117.4,112.9,141.4,102.6,5.9,6.3,42.4,0,100,25,49,56,23,56.06,81.09,58.45,57.78,16.87,77.72,201.1
62,50,56.79,57.1,50.63,50.4,85.08,84.9,90.94,90.7,89.31,69.62,56.6,56.96,65.36,18.14,219.9,-172.7,54.97,53.29,3.201,1.521,57.39,3.368,1.044,268,214.3,7.7,3.2,42.9,38,94.3,112.2,6.8,48.5,5.8,128.7,34.4,74,67,64,20.86,9.076,8.015,20,0,117.6,112.9,140.9,101.7,5.9,6.5,54.41,0,100,25,49,56,23,56.06,80.76,58.61,57.82,17.62,76.83,203
64,50,56.79,57.1,50.63,50.8,85.12,84.9,90.98,90.7,89.39,69.66,56.6,56.96,65.45,17.71,220.7,-172.9,55.15,53.46,3.212,1.526,57.46,3.374,1.042,268.4,215,7.5,3.6,43.1,38.2,94.3,112.7,6.8,48.7,5.6,128.7,34,74.5,67,64,21.21,9.218,8.015,20,0,117.8,112.9,140.9,102.1,5.8,6.5,46.42,0,100,25,49,56,23,56.1,80.96,58.74,57.9,17.09,77.08,203.4
66,50,56.91,57.2,50.68,50.8,85.16,84.9,91.06,90.8,89.43,69.7,56.68,57.04,65.7,18.1,219.9,-172.3,56.11,54.05,3.225,1.165,57.53,3.429,1.025,267.5,215.9,7.9,3.2,42.9,38,94,112.2,6.5,48.7,5.8,129,34.7,75,66,63,23.81,10.31,8.116,20,0,117.8,112.9,141.4,102.4,5.9,6.4,48.44,0,100,25,49,56,23,56.14,80.96,59.15,58.11,17.5,74.32,201.8
68,50,56.95,57.2,50.76,50.8,85.12,84.9,91.02,90.8,89.35,69.7,56.68,57.12,65.31,18.45,217.7,-170.9,55.5,53.09,3.944,1.526,57.48,3.395,1.036,265.9,214.9,7.9,3.5,42.9,38,94.3,112.7,6.3,48.7,5.6,128.7,34.7,74.2,67,64,23.01,10.02,8.015,20,0,117.8,112.9,140.4,102.7,5.9,6.4,50.45,0,100,25,49,56,23,56.18,80.59,59.23,58.23,18.14,94.62,201.1
70,50,57,57.1,50.76,50.8,85.21,85.1,91.1,91,89.43,69.74,56.68,57.17,65.39,18.47,218.4,-171.5,56.1,53.3,4.329,1.532,57.62,3.423,1.027,266.3,215.8,7.7,3.3,43.1,38.2,94.3,112.7,6.2,48.7,5.6,129,34.4,74.7,67,64,24.97,10.86,8.015,20,0,118.1,113.3,141.9,102.7,6.1,6.5,52.46,0,100,25,49,56,23,56.22,80.84,59.27,58.23,18.01,99.77,201.3
72,50,56.95,57.2,50.8,50.8,85.25,84.9,91.14,91,89.48,69.74,56.77,57.21,65.71,18.56,220,-172.8,55.35,53.66,3.96,2.269,57.61,3.378,1.041,267.5,215.8,7.7,3.3,43.1,38.2,94.3,112.7,6.8,48.7,5.6,129,34.4,74.5,67,64,21.19,9.17,8.015,20,0,118.3,113.1,139.9,100.7,6.1,6.4,54.47,0,100,25,49,56,23,56.26,80.68,59.35,58.31,18.25,91.26,202.3
74,50,57,57.2,50.8,50.8,85.21,84.9,91.1,91,89.43,69.74,56.73,57.17,65.61,18.53,219.2,-172.1,55.7,53.27,3.957,1.531,57.67,3.396,1.035,267.1,215.7,7.6,3.5,43.2,38.3,94.3,112.7,6.5,48.8,5.5,128.7,34.2,74.7,67,64,22.81,9.888,8.015,20,0,118.5,113.3,140.9,102.1,6.1,6.4,56.48,0,100,25,49,56,23,56.22,80.64,59.35,58.31,18.22,91.2,202.2
76,50,57,57.2,50.8,50.8,85.25,84.9,91.22,91,89.52,69.78,56.68,57.21,66.64,19.02,220,-172.4,55.78,52.98,4.701,1.902,57.89,3.388,1.038,267.6,216,7.7,3.3,43.1,38.2,94.3,112.7,6.7,48.7,5.6,129,34.5,75,68,65,19.71,8.412,7.914,20,0,118.3,113.3,141.4,102.2,5.9,6.4,58.49,0,100,25,49,56,23,56.26,80.72,59.68,58.47,18.67,93.62,203.2
78,50,57.12,57.4,50.84,50.9,85.37,86.5,91.26,91.7,89.56,69.83,56.77,57.29,65.62,18.99,219.7,-173,56.16,53.02,4.672,1.524,56.48,3.496,1.006,267.2,214.7,7.8,3.6,43.3,38.5,95.3,114.7,7.3,48.8,5.3,129,33.4,76.9,65,62,23.23,10.07,8.219,20,0,118.5,113.3,140.9,100.9,5.1,6.3,0,0,100,15,49,56,37.79,56.34,80.76,60.01,58.76,18.67,89.98,202.7
80,50,54.42,54.1,50.1,50.9,85.86,84.2,90.32,87.7,88.57,64.42,54.23,54.55,49.76,19.49,269.4,-239.1,39.11,37.4,2.879,1.174,42.77,3.215,1.094,267.7,217.6,7.6,1.7,43.3,38.5,89.4,103.2,0.6,49.3,6.1,133.2,43.8,65.2,49,47,5.313,3.037,9.926,20,0,118.5,113.3,139.9,100.6,3.7,3.3,0,0,100,15,49,56,18.55,56.26,76.17,54.85,55.03,23.49,69.11,230.5
82,50,54.62,54.5,50.47,50.3,84.14,84.2,88.32,88,86.81,63.72,54.56,54.75,46.59,16.76,257.7,-227.8,37.24,36.65,1.747,1.161,46.31,2.827,1.244,267.8,215.3,6.7,2.7,43.6,38.8,90.7,105.7,5.1,49.3,5.5,137.4,47.1,66.7,53,51,13.43,8.202,9.433,20,0,118.8,113.3,139,98.9,3.8,4.2,0,0,100,15,49,56,17.31,56.26,79.41,54.93,54.95,17.37,41.92,229.7
84,50,53.68,53.3,49.86,49.8,85.41,85.4,89.26,88.5,87.67,62.25,53.53,53.73,43.1,17.74,284.8,-259.4,34.16,32.85,1.74,0.4252,40.65,2.955,1.19,268.9,214.5,6.8,1.7,43.3,38.3,89.9,104.2,3.8,49,5.8,138.1,48.5,66.4,47,45,9.233,6.093,10.19,20,0,119,113.3,139.9,100.3,3.1,3.3,40,0,100,5,49,56,24,56.26,79.57,54.93,54.34,18.26,41.76,237.9
86,50,53.64,53.8,50.35,50.1,84.96,85.1,88.27,88.3,87.02,61.35,53.49,53.85,37.23,14.1,288.3,-265.2,29.52,28.2,3.217,1.896,43.13,2.407,1.461,269.6,215.3,6.3,2.5,44,39.2,90.5,105.7,4.9,49.6,5.5,143.6,53.1,66.5,50,48,16.03,12.24,9.8,20,0,119.2,113.6,140.9,100.9,3.2,3.5,40,0,100,5,49,56,20,56.3,80.51,55.13,54.5,13.98,77.21,243.2
88,50,53.47,53.4,50.06,50,85.29,84.9,88.73,88.5,87.31,61.27,53.29,53.6,38.51,15.9,291.7,-269.1,30.65,28.96,2.852,1.162,43.14,2.498,1.408,268.9,215.5,6,2.2,43.8,39,90.7,105.7,4.5,49.5,5.9,144,53.1,66.4,49,47,15.52,11.46,9.926,20,0,119.7,114,140.4,100.6,3.6,3.6,40,0,100,5,49,56,20,56.34,80.02,55.01,54.38,16.12,68.45,242.2
90,50,53.31,53.3,49.9,49.8,85.21,84.9,88.64,88.2,87.22,61.1,53.12,53.44,38.35,15.83,291.4,-268.9,30.75,29.06,2.861,1.166,40.73,2.655,1.324,267.7,216.3,5.7,1.4,44.1,39.3,89.6,103.7,3.8,49.5,5.4,144,54.4,64.4,47,45,14.03,10.41,10.19,20,0,120.2,114.2,140.4,99.9,3.3,3.5,40,0,100,5,49,56,20,56.38,80.14,54.81,54.17,15.99,68.66,241
92,50,53.68,53.9,50.39,50.4,84.76,84.7,88.03,88,86.86,61.27,53.49,53.85,36.69,13.16,286.8,-263.2,29.42,27.74,3.206,1.524,42.36,2.442,1.44,269,214.6,6.1,2.2,44.3,39.5,90.2,104.7,4,49.8,5.4,146.1,55.2,65.4,49,47,16.81,13.03,9.926,20,0,120.4,114.5,140.4,98.7,3.3,3.4,40,0,100,5,49,56,17,56.38,80.43,55.26,54.58,13.13,76.95,243
94,50,53.76,53.8,50.43,50.6,85.12,84.8,88.44,88.2,87.14,61.39,53.57,53.85,36.98,14.46,287.3,-264.8,29.67,28,2.464,0.7886,42.2,2.472,1.422,267.7,213.8,6.6,2,44,39.2,90.2,104.7,4.9,49.8,5.8,145.4,55.2,65.5,48,46,16.52,12.7,10.06,20,0,120.9,115.1,139.9,100.1,3.4,3.2,30,0,100,5,49,56,17,56.38,80.68,55.34,54.67,14.29,59.14,241.6
96,50,53.84,53.9,50.47,50.4,85.16,85.1,88.48,88.2,87.18,61.47,53.61,53.93,36.99,14.47,286.9,-264.4,30.12,28.07,2.836,0.7902,42.54,2.489,1.412,267.8,214.4,6.8,1.6,43.8,39,90.2,104.7,4.9,49.8,6,145.8,55.2,65.2,49,47,18.39,14.14,9.926,20,0,121.2,115.6,140.9,100.9,3.4,3.3,40,0,100,5,49,56,20,56.43,80.59,55.3,54.75,14.37,68.07,241.6
98,50,53.8,53.9,50.47,50.4,85.21,84.8,88.52,88.3,87.22,61.47,53.61,53.89,37.06,14.5,287.9,-265.3,29.88,28.19,2.481,0.7936,42.61,2.466,1.426,268.3,215.3,6.6,1.9,43.8,39,90.5,104.7,4.7,49.8,6,145.8,54.9,65.7,49,47,17.38,13.33,9.926,20,0,122,115.7,139,99,3.4,3.5,40,0,100,5,49,56,17,56.43,80.43,55.26,54.67,14.49,59.54,242.1
100,50,53.76,53.9,50.43,50.3,85.16,84.8,88.48,88.3,87.18,61.43,53.57,53.89,37.28,14.58,289.6,-266.9,29.77,28.09,2.838,1.157,42.52,2.462,1.428,270,214.5,6.5,2.2,43.8,39,90.5,105.2,4.4,50,6,145.1,55.2,65.4,49,47,16.12,12.3,9.926,20,0,122,116,140.9,100.6,3.4,3.6,40,0,100,5,49,56,17,56.47,80.35,55.26,54.63,14.66,68.11,243.8
102,50,53.72,53.8,50.39,50.3,85.12,84.8,88.44,88.2,87.1,61.43,53.57,53.85,37.01,14.93,286.6,-264.5,29.91,28.59,2.484,1.163,42.51,2.473,1.421,268,215.5,6.5,2,43.8,39,90.2,104.7,4.4,49.6,5.8,145.8,55.2,65.4,49,47,17.54,13.48,9.926,20,0,122.2,116.4,140.4,100.4,3.3,3.5,40,0,100,5,49,56,17,56.43,80.14,55.18,54.58,15.11,59.6,241.2
104,50,53.68,53.6,50.35,50.3,85.16,84.9,88.52,88.2,87.18,61.35,53.53,53.81,37.61,14.99,289.6,-266.9,29.81,28.49,2.475,1.159,42.59,2.461,1.429,269,214.8,6.7,2,43.6,38.8,90.2,104.7,4.4,49.6,5.6,145.4,54.9,66,49,47,15.15,11.46,9.926,20,0,122.7,116.7,139.9,99.9,3.3,3.3,40,0,100,5,49,56,20,56.43,80.23,55.13,54.58,15.12,59.41,242.5
106,50,53.68,53.6,50.31,50.3,85.16,85.1,88.48,88.3,87.14,61.35,53.49,53.81,37.2,15.01,289.5,-267.3,30.16,28.47,2.84,1.158,42.59,2.489,1.412,269.4,214.6,6.5,2.2,43.8,39,90.5,105.2,4.5,49.6,5.8,145.4,55.3,65.5,49,47,17.81,13.62,9.926,20,0,122.7,116.4,139.4,99.1,3.4,3.3,40,0,100,5,49,56,20,56.43,80.27,55.13,54.54,15.11,68.16,242.9
108,49,53.64,53.8,50.31,50.3,85.12,83.5,88.52,88,87.22,61.39,53.49,53.81,37.9,14.47,288.2,-264.8,29.85,28.54,2.846,1.527,46.7,2.248,1.564,267.8,215.1,7,0.9,43.3,38.5,89.1,102.8,3.3,49.6,6.5,145.8,56.3,63.6,51,49,18.43,13.83,9.675,20,0,122.7,116.9,139,99,4.8,3.5,20,0,100,26.03,49,56,20,56.47,80.31,55.05,54.5,14.56,68.31,241.3
110,49,55.89,56,50.1,49.5,81.85,81.8,87.5,87.7,85.87,67.82,55.74,55.98,63.46,18.25,202.8,-157.6,51.84,50.53,2.111,0.793,54.84,3.324,1.058,269.6,215,6.2,3.7,43.3,38.5,91,106.7,6.3,48.3,5,134.4,43.4,68,64,61,13.99,6.269,8.323,20,0,122.7,116.9,140.4,100.4,5.7,6.5,30,0,100,32.24,49,56,20,56.51,78.67,56.4,56.22,19.76,50.66,202.5
