Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance,Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
42,49,59.82,60,51.21,51.1,85.37,85.4,99.78,99.6,95.45,75.15,58.98,59.95,95.67,28.72,134.8,-67.86,77.87,70.25,8.794,1.17,80.77,3.39,1.037,159.3,217,7.6,5.5,43.5,38.7,105.1,135.5,13.5,48.2,4.7,133.2,28.1,96.8,97,93,18.19,5.409,5.363,20,0,119.5,114,140.9,101.9,14.3,8.9,60,0,100,46,42,56,32,58.43,82.68,66.03,62.94,28.43,68.34,76.3
44,49,59.78,60,51.21,51.1,85.33,85.1,99.78,99.4,95.33,75.11,58.94,59.91,95.97,29.55,134.3,-67.88,77.3,69.7,8.772,1.168,80.99,3.356,1.048,159.4,216.4,7.9,5.7,43.2,38.3,105.1,135.5,13.9,48.3,5,133.2,28.1,96.7,96,92,15.34,4.547,5.448,20,0,119.9,114.2,140.9,101.7,14.3,8.8,60,0,100,46,42,56,28,58.47,82.31,65.94,62.9,29.74,69.08,76.67
46,49,59.82,59.9,51.25,51.2,85.37,84.9,99.78,99.4,95.41,75.19,59.02,59.95,95.49,28.94,134,-67.46,76.92,69.72,8.36,1.161,80.85,3.345,1.051,159,215.4,7.8,5.7,43.3,38.5,105.1,135.5,13.9,48.3,5,133.2,27.8,97.2,96,92,15.57,4.636,5.448,20,0,119.9,114.2,140.9,101.7,14.3,8.8,60,0,100,46,42,56,28,58.47,82.4,65.9,62.9,29.03,66.73,76.29
48,50,59.78,59.9,51.25,51.2,85.49,86.8,99.78,99.6,95.49,75.11,58.98,59.87,95.72,28.71,136.6,-69.57,76.9,69.66,8.029,0.798,78.42,3.447,1.02,160.8,216.3,7.5,5.5,43.6,38.8,105.1,135.5,13.7,48.3,4.7,133.2,28.1,96.7,91,87,12.24,3.636,5.877,20,0,120.2,114.9,136.5,96.7,12.4,8.8,20.34,0,100,25,42,56,38,58.47,82.85,64.72,62.81,28.27,101.4,78.77
50,50,56.22,55.5,50.18,49.5,88.6,88,99.33,98.4,94.59,67.78,55.74,56.1,71.46,31.55,178.7,-138.8,53.92,49.67,3.203,-1.039,64.77,2.927,1.201,159.9,214.5,6.3,3.8,43.2,38.3,102.2,129,9.7,48.2,5,137.8,35.2,90.5,76,73,3.083,1.227,7.139,20,0,120.7,114.9,139.9,100.7,10.4,6,42.35,0,100,25,42,56,38,58.47,79.86,57.92,57.37,35.41,76.88,115.4
52,50,55.11,56.1,51,51.2,85.49,83.5,93.56,91.4,90.42,66.18,55.01,55.57,53.93,20.99,162.1,-129.1,37,36.04,5.071,4.115,53.58,2.428,1.448,160.5,216.1,8.3,3.9,43.1,38.2,95.3,114.7,6.1,49.8,6.5,141.3,45.8,76.2,61,59,-5.957,-3.142,8.534,20,0,120.7,115.1,136.5,97.7,7.7,4.7,24.36,0,100,25,42,56,20,58.47,77.28,56.77,56.26,26.79,121.7,124.8
54,50,54.91,54.5,49.94,50.1,85.16,85.1,93.68,93,90.66,65.4,54.64,54.91,56.58,20.04,167.8,-131.3,44.65,42.22,2.486,0.05951,51.07,3.074,1.144,159.5,215.7,6.4,2.3,43.6,38.8,95.3,114.7,7.8,48.8,5.3,138.1,43.1,76.9,58,56,9.136,4.593,8.86,20,0,120.9,115.1,136.5,96.5,8.1,4.5,46.37,0,100,25,42,56,23,58.47,82.07,56.65,55.94,20.39,59.66,119.3
56,50,55.07,55.2,50.39,50.3,84.8,84.7,92.7,92.5,90.13,65.4,54.84,55.16,52.68,17.11,164.9,-129.3,41.93,39.87,2.844,0.7927,51.75,2.849,1.234,160,214.9,6.8,2.8,43.5,38.7,95.3,114.7,8.5,49.1,5.6,139.1,44.4,76.9,59,57,13.94,7.526,8.75,20,0,121.2,115.3,137,96.2,7.8,4.9,48.38,0,100,25,42,56,20,58.51,82.31,56.85,56.06,17.25,68.24,121.3
58,50,55.11,55.3,50.47,50.4,84.88,84.8,92.78,92.6,90.25,65.53,54.88,55.28,52.73,16.85,165,-129.2,41.68,39.62,3.587,1.53,52,2.818,1.248,160.2,215.5,6.8,3.1,43.6,38.8,95.7,115.6,8.9,49.3,5.7,139.7,43.7,75.9,59,57,13.15,7.092,8.75,20,0,121.5,115.3,138,98.5,7.9,4.9,50.39,0,100,25,42,56,20,58.55,82.81,56.98,56.18,16.68,86.08,121.7
60,50,55.15,55.3,50.51,50.6,84.92,84.7,92.82,92.6,90.29,65.61,54.88,55.36,52.6,16.81,164.4,-128.6,41.56,39.14,4.311,1.893,52.04,2.808,1.252,159.8,214.9,6.9,2.9,43.5,38.7,95.5,115.2,8.7,49.1,5.6,139.7,44.2,76.9,59,57,13.22,7.146,8.75,20,0,121.7,115.3,137,97.2,7.8,4.9,42.4,0,100,25,42,56,20,58.64,82.56,57.1,56.26,16.87,103.5,121.7
62,50,55.23,55.3,50.55,50.6,84.96,84.8,92.82,92.6,90.29,65.53,54.96,55.32,52.37,16.82,165,-129.5,42.13,39.7,3.226,0.7966,52.16,2.84,1.238,159.9,216,7,3.1,43.6,38.8,95.7,115.6,8.7,49.3,5.7,139.7,43.7,76.8,60,58,16.18,8.787,8.641,20,0,121.7,115.3,136,96,7.8,4.7,44.41,0,100,25,42,56,20,58.68,82.56,57.22,56.34,16.91,77.43,121.4
64,50,55.23,55.5,50.59,50.6,85.04,84.9,92.86,93,90.42,65.61,55.01,55.45,51.69,16.15,164,-128.5,41.86,39.79,3.971,1.906,52.22,2.818,1.248,158.7,216.4,7,2.9,43.6,38.8,95.7,115.6,9.2,49.3,5.5,139.7,43.7,76.6,60,58,17.63,9.701,8.641,20,0,122,115.7,136,96.4,7.9,4.9,46.42,0,100,25,42,56,23,58.68,82.68,57.43,56.47,16.15,95.31,120.2
66,50,55.32,55.5,50.68,50.6,85,84.8,92.86,92.6,90.42,65.69,55.05,55.53,52.77,16.4,166,-129.7,41.72,39.29,4.326,1.9,52.15,2.813,1.25,161.1,215.7,6.8,3.4,43.8,39,96,116.1,9,49.5,5.9,139.7,43.7,76.6,60,58,13.3,7.167,8.641,20,0,122,115.6,136.5,96.9,7.7,4.9,48.44,0,100,25,42,56,20,58.72,82.72,57.75,56.67,16.4,95.94,123
68,50,55.4,55.6,50.72,50.8,85.08,84.8,92.94,92.6,90.46,65.69,55.13,55.57,52.52,16.6,165.5,-129.6,42.11,39.68,3.961,1.532,52.65,2.813,1.25,160.4,215.8,7,3.4,43.6,38.8,96,116.1,8.5,49.5,5.9,139.7,43.4,77.3,59,57,16.05,8.693,8.75,20,0,122,115.7,138,97.4,7.8,5,50.45,0,100,25,42,56,20,58.72,82.48,57.84,56.8,16.77,91.28,121.9
70,50,55.44,55.5,50.76,50.8,85.04,84.8,92.94,92.8,90.42,65.73,55.17,55.65,53.04,16.95,165.7,-129.6,41.79,39.38,4.296,1.886,52.53,2.797,1.257,161.1,214.2,7,3.2,43.8,39,96,116.1,9,49.6,5.8,139.7,43.7,76.8,60,58,12.99,6.964,8.641,20,0,122.2,116,138,98,8,4.9,52.46,0,100,25,42,56,20,58.72,82.36,57.92,56.84,17.21,95.26,122.8
72,50,55.52,55.6,50.8,50.9,85.16,84.8,93.07,93,90.5,65.81,55.21,55.69,53.07,17.24,165.8,-130,42.44,39.65,4.325,1.532,53.9,2.769,1.27,161.2,215.7,7,3.2,43.8,39,96.2,116.6,9.5,49.6,5.8,139.7,43.2,77.8,60,58,16.53,8.861,8.641,20,0,122.2,116,136,96.2,8.1,4.8,54.47,0,100,25,42,56,20,58.76,82.6,58.12,56.92,17.35,86.14,122.7
74,50,55.56,55.8,50.84,50.8,85.12,84.9,93.02,93,90.46,65.81,55.25,55.73,53.02,17.22,165.4,-129.6,42.46,39.67,4.328,1.532,53.98,2.766,1.271,161.1,215.8,7.3,3.2,43.6,38.8,96,116.1,9,49.6,6,139.4,43.7,77.3,60,58,16.87,9.048,8.641,20,0,122.5,116,136.5,96.7,8.1,4.9,56.48,0,100,25,42,56,23,58.8,82.4,58.12,57,17.51,92.47,122.4
76,50,55.6,55.8,50.84,50.8,85.12,84.9,93.07,92.8,90.5,65.81,55.25,55.73,53.2,17.19,165.4,-129.3,42.74,39.58,4.318,1.162,52.84,2.843,1.237,160.8,215.3,7.1,3.4,43.8,39,96.2,116.6,9,49.5,5.9,139.7,43.2,77.8,60,58,16.07,8.594,8.641,20,0,122.2,116.2,138,98,7.9,4.9,58.49,0,100,25,42,56,23,58.8,82.31,58.53,57.16,17.54,75.71,122.3
78,50,55.77,56,50.96,50.9,85.16,86.5,93.07,93.2,90.42,65.81,55.33,55.86,52.81,17.7,164.5,-129.4,43.4,39.48,4.717,0.799,52.68,2.897,1.214,160.4,216.8,7.1,3.8,43.8,39,97,118.1,9.7,49.8,5.8,139.7,42.7,79.1,60,58,19.59,10.55,8.641,20,0,122.2,116.2,137,97,6.6,5.1,0,0,100,15,42,56,37.79,58.8,82.07,58.57,57.57,18.25,113.2,121.9
80,50,53.06,53,50.18,50.9,86.47,84.5,91.96,88.9,89.64,61.1,52.92,53.24,36.64,15.5,190.6,-169.5,25.83,24.51,2.847,1.527,39.27,2.312,1.521,160.3,215.1,4.5,1.3,46.6,41.9,90.2,104.7,2.5,50,3.4,144.3,54.1,63,43,41,1.263,0.9807,10.74,20,0,122.5,116.2,139,96,4.6,2.3,0,0,100,15,42,56,18.55,58.76,77.16,53.62,53.81,20.22,68.33,139.7
82,50,53.8,53.6,50.8,50.4,83.73,83.8,88.97,88.9,86.69,60.61,53.7,53.85,35.15,15.29,175,-155.1,27.05,26.09,1.384,0.4284,41.54,2.289,1.536,161,216.1,5.8,2.1,44.6,39.8,91,106.2,5.9,50.8,6.2,153.4,62.4,66.2,48,46,13.03,10.54,10.06,20,0,122.7,116.4,136.5,95.7,5.1,3,0,0,100,15,42,56,17.31,58.72,79.74,54.15,54.05,17.47,33.23,137
84,50,52.74,52.4,50.06,49.6,85.33,85.1,90.32,89.9,87.67,59.47,52.55,52.83,33.41,17.72,188.8,-173.1,24.06,22.37,2.487,0.796,40.94,2.066,1.701,160.6,215.8,5.3,1.6,44.4,39.6,91.5,107.2,6.8,49.6,5.5,152.5,61,68.2,47,45,8.06,6.86,10.19,20,0,123.2,116.7,136,95.5,4.6,2.8,40,0,100,5,42,56,20,58.72,80.55,54.15,53.52,19.47,59.7,141.6
86,50,52.29,52.5,50.22,50.4,84.88,84.5,88.85,88.5,87.02,57.75,52.18,52.54,26.58,12.25,196,-181.7,18.57,17.61,3.228,2.272,37.86,1.724,2.04,160.7,216.1,5.7,2,44.6,39.8,89.9,105.2,6.1,50.1,5.5,159.1,69.2,65.2,44,42,9.691,10.37,10.6,20,0,124,116.9,137.5,96.7,4,2.2,40,0,100,5,42,56,17,58.76,79.9,54.03,53.36,13.9,77.46,146.3
88,50,52.49,52.7,50.31,50.3,85.08,84.9,89.13,89,87.22,57.75,52.34,52.7,27.09,12.77,197.1,-182.7,19.69,18.37,3.232,1.906,38.1,1.817,1.935,160.4,216.3,5.6,1.5,44.8,40,90.5,105.2,5.8,50.3,5.5,163.4,72.4,65.2,45,43,12.11,12.71,10.46,20,5,124.7,117.1,136.5,95.7,3.9,2.3,40,0,100,5,42,56,20,58.8,81,54.23,53.52,13.81,77.57,145.5
90,50,52.53,52.7,50.31,50.3,85.29,84.9,89.34,89.2,87.39,57.75,52.34,52.66,27.06,13.04,198,-183.9,20.05,18.36,2.861,1.167,38.12,1.849,1.901,160.3,216.2,5.5,1.5,44.8,40,90.7,105.7,5.8,50.4,5.8,163.9,73.2,65.7,45,43,13.48,14.17,10.46,20,5,125.2,117.8,136,95.1,4.4,2.4,40,0,100,5,42,56,20,58.8,81.45,54.27,53.56,13.81,68.67,145.4
92,50,52.49,52.5,50.27,50.1,85.16,85.1,89.3,88.9,87.31,57.75,52.3,52.62,27.62,13.31,197.5,-183.2,19.93,18.25,2.844,1.16,38.1,1.839,1.912,160.4,214.9,5.5,1.8,44.8,40,90.7,105.7,5.8,50.3,5.5,163.9,72.7,65.2,45,43,11.07,11.4,10.46,20,5,125.7,118.1,136,95.7,4,2.2,40,0,100,5,42,56,20,58.84,81,54.23,53.56,14.42,68.25,145.5
94,50,52.45,52.5,50.18,50.3,85.16,85.1,89.26,89.2,87.31,57.71,52.22,52.58,27.45,13.09,198.5,-184.2,20.25,18.21,3.203,1.156,38.12,1.868,1.882,161,214.4,5.5,1.5,44.6,39.8,90.7,105.7,5.6,50.3,5.4,163.4,73.2,65.7,44,42,12.82,13.29,10.6,20,5,126.3,118.5,136,95.2,4.1,2.4,40,0,100,5,42,56,20,58.88,81,54.15,53.44,14.2,76.88,146.2
96,50,52.37,52.5,50.14,50.1,85.29,84.8,89.34,89.4,87.43,57.71,52.18,52.5,26.99,12.73,198,-183.7,20.02,18.32,2.855,1.164,38.3,1.838,1.913,159.9,215.8,5.2,1.3,44.8,40.1,91.2,106.7,5.9,50.3,5.4,163.9,72.7,65.1,44,42,13.79,14.53,10.6,20,5,126.8,119,137,95.7,4.5,2.4,40,0,100,5,42,56,17,58.88,81.41,54.11,53.4,13.56,68.53,145.1
98,50,52.33,52.4,50.1,50.1,85.16,84.8,89.3,89,87.26,57.67,52.14,52.5,27.69,13.62,198.3,-184.2,20.01,18.32,3.224,1.533,38.13,1.845,1.905,160.8,215.8,5.2,1.5,44.8,40,90.5,105.2,5.4,50.3,5.5,164.3,73.4,65.2,45,43,11.14,11.44,10.46,20,5,127.4,119.5,137.5,96.4,4.1,2.4,40,0,100,5,42,56,17,58.88,81,54.07,53.4,14.78,77.37,145.9
100,50,52.33,52.4,50.1,50,85.12,84.8,89.26,89,87.22,57.67,52.14,52.46,27.66,13.61,197.8,-183.7,20.1,18.41,2.869,1.17,38.13,1.854,1.897,160.6,216.8,5.2,1.7,44.8,40,90.7,105.7,5.6,50.1,5.5,163.9,73.4,65.2,45,43,11.56,11.88,10.46,20,5,127.7,119.7,136,95.2,4.2,2.4,40,0,100,5,42,56,17,58.88,80.59,53.99,53.31,15.04,68.85,145.7
102,50,52.2,52.4,50.06,50,85.12,85.1,89.22,89,87.26,57.58,52.06,52.42,27.28,13.01,197.8,-183.5,19.27,17.95,3.223,1.9,38.05,1.781,1.975,160,215.8,5.2,2.2,44.9,40.1,91.2,106.7,6.1,50.1,5.3,164.3,72.9,65.9,44,42,9.914,10.34,10.6,20,5,127.9,120.2,136,94.9,4.1,2.3,40,0,100,5,42,56,20,58.88,81,53.91,53.27,14.11,77.35,145.4
104,50,52.2,52.4,50.06,50,85.21,84.9,89.3,89.2,87.31,57.54,51.98,52.38,27.32,13.3,198.7,-184.7,19.14,17.09,3.566,1.522,38.13,1.765,1.992,160.2,214.3,5,1.3,44.8,40,90.5,105.2,5.6,50.1,5.3,164.3,73.4,65.2,45,43,9.358,9.74,10.46,20,5,128.2,120.4,136.5,94.9,4.3,2.6,40,0,100,5,42,56,20,58.88,81.29,53.86,53.19,14.25,85.59,146.4
106,50,52.12,52.4,49.98,50,85.16,84.8,89.26,89,87.31,57.54,51.98,52.38,27.35,13.04,198.9,-184.6,19.14,17.83,3.567,2.253,38.12,1.766,1.991,160.4,214.3,5.2,1.7,44.8,40,90.7,105.7,5.8,50.1,5.3,163.9,73.6,65.7,45,43,9.245,9.613,10.46,20,5,128.5,120.7,138,96.7,4.1,2.4,40,0,100,5,42,56,17,58.88,81.05,53.82,53.15,14.13,85.61,146
108,49,52.16,52.2,49.94,50,85.16,84.3,89.3,89.2,87.35,57.5,51.93,52.33,27.57,13.02,199,-184.5,19.97,17.91,3.584,1.529,40.97,1.713,2.052,160,215.3,5.2,1.3,44.4,39.8,90.5,105.2,6.1,50.1,5.4,164.3,73.8,65.4,45,43,14.25,14.71,10.46,20,5,128.7,120.9,136.5,95.6,5.2,2.4,70,30,100,31.38,42,56,20,58.92,81.13,54.36,53.19,14.07,73.88,145.6
110,49,56.26,57.2,51.29,50.9,79.43,79.1,87.74,88.5,85.18,66.06,55.7,56.55,55.37,17.1,127.4,-89.1,44.51,39.52,7.612,2.626,56.16,2.787,1.262,159.9,215,7.6,5.5,43.3,38.5,93.5,112.2,11.2,49.8,6.5,149.8,55.9,73.9,67,64,17.98,9.235,8.015,20,0,128.7,121.2,134.5,94.9,9.4,6.3,70,30,100,39.66,42,56,20,58.92,78.83,62.38,59.17,20.61,56.88,110.3
