TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
49.0,63.38,62.9,53.46,53.0,85.78,85.6,94.91,95.0,92.06,78.22,62.38,63.31,101.4,31.67,153.6,-83.94,89.12,80.07,8.367,-0.6761,80.58,3.888,0.9042,266.5,215.5,9.3,3.7,43.5,38.7,98.7,121.6,8.2,49.5,5.9,124.7,26.3,83.3,96.0,92.0,37.51,10.52,5.4479999999999995,20.0,0.0,109.8,101.1,143.4,102.1,9.6,10.1,60.0,0.0,100.0,46.0,49.0,56.0,37.0,56.34,78.02,68.44,66.13,35.08,86.9,127.6
49.0,61.83,61.6,51.82,51.2,85.66,85.4,94.99,95.0,92.22,77.69,61.02,61.92,103.2,30.63,160.6,-88.09,89.46,82.28,7.9639999999999995,0.7909999999999999,82.23,3.825,0.9192,265.3,214.6,8.3,3.7,42.9,38.0,98.7,121.6,7.9,48.0,4.8,124.5,25.3,83.6,99.0,95.0,33.98,9.366,5.194,20.0,0.0,110.9,103.1,142.9,104.2,9.4,10.2,60.0,0.0,100.0,46.0,49.0,56.0,32.0,56.1,78.55,66.8,64.37,32.74,78.54,129.4
49.0,60.84,60.8,50.8,50.4,85.49,85.1,95.03,94.8,92.34,77.48,60.16,60.93,105.6,29.76,164.5,-88.65,89.85,83.77,6.867999999999999,0.7918,82.73,3.819,0.9208,265.6,214.6,7.8,3.7,42.4,37.5,98.5,121.1,7.9,47.2,4.6,124.2,25.7,84.1,99.0,95.0,27.46,7.397,5.194,20.0,0.0,112.0,104.5,143.4,104.9,9.5,10.4,70.0,0.0,100.0,46.0,49.0,56.0,28.0,56.06,79.08,66.07,63.51,31.02,64.48,130.3
49.0,60.43,60.3,50.39,50.1,85.41,85.1,94.91,95.0,92.3,77.28,59.67,60.56,105.6,28.97,167.0,-90.39,89.93,83.12,7.974,1.159,82.68,3.824,0.9194,266.7,214.8,7.7,3.7,42.3,37.5,98.7,121.6,8.0,46.8,4.4,123.7,25.3,84.2,99.0,95.0,27.74,7.474,5.194,20.0,0.0,112.7,106.1,144.9,106.9,9.7,10.2,70.0,0.0,100.0,46.0,49.0,56.0,28.0,56.02,79.53,65.86,63.18,29.57,71.43,134.0
49.0,60.27,60.3,50.22,50.1,85.41,85.3,94.87,94.6,92.26,77.2,59.51,60.4,104.8,28.88,166.9,-91.01,89.96,83.14,7.976,1.158,82.46,3.835,0.9167,265.9,214.9,8.0,3.9,42.1,37.2,98.7,121.6,7.8,46.8,4.7,124.0,25.2,84.4,99.0,95.0,30.36,8.242,5.194,20.0,0.0,113.3,107.1,143.4,106.0,9.5,10.2,70.0,0.0,100.0,46.0,49.0,56.0,32.0,55.93,79.74,65.82,63.1,29.12,70.37,133.5
49.0,60.23,60.3,50.22,50.0,85.37,85.1,94.83,94.6,92.26,77.15,59.47,60.4,104.8,28.42,167.3,-91.0,89.86,83.03,8.368,1.53,82.16,3.845,0.9143,265.9,215.6,8.0,4.1,42.1,37.2,98.7,121.6,8.0,46.8,4.7,124.0,25.2,83.9,99.0,95.0,29.8,8.092,5.194,20.0,0.0,113.8,108.2,143.4,105.5,9.3,10.2,70.0,0.0,100.0,46.0,49.0,56.0,28.0,55.89,79.86,65.82,63.06,28.47,72.73,133.9
49.0,60.27,60.5,50.31,50.1,85.33,85.1,94.78,94.8,92.22,77.2,59.51,60.4,104.1,28.24,165.3,-89.5,89.46,82.62,7.997000000000001,1.161,82.7,3.803,0.9245,264.1,215.5,8.1,4.2,42.0,37.1,99.0,122.1,8.5,46.8,4.7,124.0,25.2,84.4,99.0,95.0,31.34,8.565,5.194,20.0,0.0,114.2,109.0,143.4,105.5,9.5,10.4,70.0,0.0,100.0,46.0,49.0,56.0,28.0,55.85,80.02,65.86,63.14,28.04,70.56,132.1
49.0,60.31,60.5,50.35,50.1,85.37,85.1,94.87,94.6,92.22,77.2,59.59,60.48,105.7,29.46,167.1,-90.94,89.43,82.96,7.995,1.5290000000000001,82.74,3.8,0.9252,267.0,215.4,8.1,4.6,42.0,37.1,99.2,122.6,8.7,46.8,4.8,124.2,25.0,85.4,100.0,96.0,25.64,6.902,5.11,20.0,0.0,114.9,109.4,143.9,106.8,9.7,10.2,70.0,0.0,100.0,46.0,49.0,56.0,28.0,55.89,79.74,66.15,63.22,29.65,65.6,134.5
49.0,60.35,60.6,50.39,50.3,85.37,85.3,94.87,94.8,92.26,77.24,59.55,60.48,105.1,28.84,166.2,-89.96,89.38,82.19,8.357999999999999,1.162,82.88,3.792,0.9272,265.5,215.3,8.2,5.9,42.0,37.1,100.7,125.6,10.2,46.8,4.7,124.2,23.5,88.5,100.0,96.0,27.77,7.519,5.11,20.0,0.0,115.1,110.1,143.9,106.3,9.7,10.3,70.0,0.0,100.0,46.0,49.0,56.0,32.0,55.85,79.74,66.31,63.39,28.98,68.58,134.2
49.0,60.48,60.5,50.43,50.3,85.41,85.3,94.91,95.0,92.3,77.28,59.63,60.61,105.2,28.87,166.4,-90.06,90.64,83.04,8.776,1.168,83.28,3.827,0.9187,265.8,216.5,7.8,5.7,42.0,37.4,100.4,125.1,9.7,46.8,4.5,124.2,23.8,88.4,101.0,97.0,32.19,8.705,5.026,20.0,0.0,115.6,110.7,143.4,105.2,9.7,10.4,70.0,0.0,100.0,46.0,49.0,56.0,32.0,55.81,79.61,66.35,63.47,29.11,73.04,133.1
49.0,60.48,60.6,50.47,50.3,85.53,85.3,95.11,95.0,92.38,77.36,59.67,60.61,106.3,30.28,166.6,-90.67,90.2,82.97,8.4,1.167,83.75,3.787,0.9285,266.2,216.4,8.2,5.9,42.1,37.2,100.9,126.1,9.7,46.8,4.8,124.5,24.3,89.0,100.0,96.0,27.29,7.303999999999999,5.11,20.0,0.0,115.7,110.9,142.9,105.0,9.7,10.3,70.0,0.0,100.0,46.0,49.0,56.0,32.0,55.85,79.98,66.39,63.43,30.12,67.98,133.7
49.0,60.48,60.5,50.43,50.3,85.49,85.4,95.07,95.2,92.42,77.36,59.67,60.61,106.0,29.3,166.7,-89.98,90.41,83.19,8.385,1.165,84.06,3.781,0.9298,265.5,216.0,8.3,5.5,42.0,37.1,100.7,125.6,10.2,46.8,4.8,124.7,23.6,88.0,100.0,96.0,29.3,7.862,5.11,20.0,0.0,116.2,111.1,143.4,105.5,9.8,10.2,70.0,0.0,100.0,46.0,49.0,56.0,32.0,55.85,79.69,66.52,63.47,29.49,66.03,133.0
49.0,60.43,60.6,50.39,50.3,85.49,85.3,95.07,95.0,92.38,77.32,59.63,60.56,106.2,29.82,167.1,-90.65,89.96,82.78,8.343,1.159,84.2,3.7569999999999997,0.9359999999999999,266.2,214.9,8.3,5.7,42.0,37.1,100.7,125.6,10.2,46.6,4.8,124.5,24.0,88.9,101.0,97.0,26.95,7.2139999999999995,5.026,20.0,0.0,116.4,111.6,142.4,104.7,9.7,10.3,70.0,0.0,100.0,46.0,49.0,56.0,32.0,55.81,79.61,66.52,63.47,30.07,65.7,134.3
49.0,60.39,60.5,50.31,50.0,85.45,85.3,95.11,95.0,92.38,77.28,59.55,60.52,107.0,30.22,167.2,-90.5,90.59,83.02,8.735,1.163,84.37,3.775,0.9314,265.7,215.5,8.1,5.7,42.0,37.1,100.7,125.6,10.2,46.8,4.8,124.7,24.0,89.0,102.0,98.0,26.78,7.121,4.9430000000000005,20.0,0.0,116.7,111.6,143.9,106.5,9.7,10.2,70.0,0.0,100.0,46.0,49.0,56.0,32.0,55.81,79.53,66.23,63.35,30.58,72.7,133.8
50.0,60.27,60.3,50.18,50.1,85.53,86.6,95.11,95.3,92.46,77.28,59.51,60.4,106.3,29.37,168.4,-91.57,90.25,83.44,7.97,1.157,80.63,3.9360000000000004,0.8934,266.2,214.7,7.9,5.8,42.3,37.4,101.1,126.6,10.6,46.8,4.4,124.7,23.6,89.6,95.0,91.0,24.38,6.526,5.5329999999999995,20.0,0.0,116.9,112.0,137.0,98.8,8.5,10.0,40.34,0.0,100.0,25.0,49.0,56.0,38.0,55.81,79.69,65.53,63.26,29.51,84.28,134.3
50.0,57.45,57.1,50.14,49.6,87.01,86.1,94.21,93.2,91.48,70.97,56.97,57.45,79.75,30.22,227.0,-177.5,65.49,61.23,4.316,0.059379999999999995,65.52,3.514,1.001,265.7,215.2,7.5,4.3,42.1,37.2,97.2,118.6,6.5,47.3,5.2,127.4,30.5,81.7,77.0,74.0,15.37,5.48,7.045,20.0,0.0,116.9,112.2,142.4,104.4,7.1,7.5,42.35,0.0,100.0,25.0,49.0,56.0,38.0,55.85,77.48,59.27,58.68,33.53,103.6,194.0
50.0,56.5,57.1,50.59,50.8,84.71,84.0,90.65,89.6,88.74,69.38,56.32,56.8,66.52,21.42,217.0,-171.9,52.95,51.27,4.313,2.628,55.95,3.3280000000000003,1.057,269.0,215.0,8.3,3.6,42.6,37.7,93.2,110.7,5.9,48.5,5.7,129.0,35.5,72.3,65.0,62.0,8.243,3.5239999999999996,8.219,20.0,0.0,117.1,112.2,140.4,127.0,5.4,6.1,34.36,0.0,100.0,25.0,49.0,56.0,20.0,55.81,78.38,58.25,57.61,22.77,103.5,205.4
50.0,56.71,56.9,50.55,50.4,84.71,84.8,90.69,90.5,88.98,69.38,56.52,56.88,66.72,19.05,218.9,-171.3,55.49,53.79,3.2310000000000003,1.536,57.27,3.406,1.032,268.0,216.3,7.8,3.5,42.8,37.9,94.0,112.2,6.4,48.5,5.7,128.7,34.7,74.2,66.0,63.0,17.78,7.577000000000001,8.116,20.0,0.0,117.4,112.4,141.4,102.6,5.7,6.5,46.37,0.0,100.0,25.0,49.0,56.0,20.0,55.81,80.88,58.41,57.74,18.23,77.56,202.1
50.0,56.71,56.8,50.59,50.4,85.0,84.9,90.9,90.7,89.27,69.58,56.56,56.88,65.63,18.08,219.2,-171.7,54.81,53.49,2.847,1.528,57.26,3.366,1.045,267.2,215.1,7.6,3.2,42.9,37.9,94.0,112.2,6.3,48.5,5.7,128.5,34.5,74.3,66.0,63.0,19.22,8.328,8.116,20.0,0.0,117.4,112.4,142.4,102.4,5.9,6.4,48.38,0.0,100.0,25.0,49.0,56.0,23.0,55.93,81.05,58.33,57.74,17.28,68.33,202.0
50.0,56.75,56.9,50.59,50.6,85.12,84.8,90.94,90.7,89.35,69.62,56.56,56.92,64.64,17.61,219.5,-172.4,55.26,53.57,3.218,1.5290000000000001,57.32,3.39,1.037,266.9,215.4,7.5,2.9,43.1,38.2,94.3,111.7,6.3,48.5,5.6,128.7,34.7,73.7,66.0,63.0,24.33,10.71,8.116,20.0,0.0,117.4,112.7,140.4,101.2,5.9,6.3,40.39,0.0,100.0,25.0,49.0,56.0,20.0,55.98,81.17,58.45,57.74,16.78,77.24,201.8
50.0,56.75,56.9,50.59,50.8,85.12,85.1,90.94,90.8,89.35,69.62,56.56,56.92,64.59,17.59,219.3,-172.3,55.61,53.91,3.238,1.5390000000000001,57.37,3.408,1.032,266.7,216.8,7.5,3.2,42.9,38.0,94.0,112.2,6.3,48.5,5.4,129.0,34.7,74.5,67.0,64.0,25.78,11.35,8.015,20.0,0.0,117.4,112.9,141.4,102.6,5.9,6.3,42.4,0.0,100.0,25.0,49.0,56.0,23.0,56.06,81.09,58.45,57.78,16.87,77.72,201.1
50.0,56.79,57.1,50.63,50.4,85.08,84.9,90.94,90.7,89.31,69.62,56.6,56.96,65.36,18.14,219.9,-172.7,54.97,53.29,3.201,1.521,57.39,3.3680000000000003,1.044,268.0,214.3,7.7,3.2,42.9,38.0,94.3,112.2,6.8,48.5,5.8,128.7,34.4,74.0,67.0,64.0,20.86,9.076,8.015,20.0,0.0,117.6,112.9,140.9,101.7,5.9,6.5,54.41,0.0,100.0,25.0,49.0,56.0,23.0,56.06,80.76,58.61,57.82,17.62,76.83,203.0
50.0,56.79,57.1,50.63,50.8,85.12,84.9,90.98,90.7,89.39,69.66,56.6,56.96,65.45,17.71,220.7,-172.9,55.15,53.46,3.2119999999999997,1.526,57.46,3.3739999999999997,1.042,268.4,215.0,7.5,3.6,43.1,38.2,94.3,112.7,6.8,48.7,5.6,128.7,34.0,74.5,67.0,64.0,21.21,9.218,8.015,20.0,0.0,117.8,112.9,140.9,102.1,5.8,6.5,46.42,0.0,100.0,25.0,49.0,56.0,23.0,56.1,80.96,58.74,57.9,17.09,77.08,203.4
50.0,56.91,57.2,50.68,50.8,85.16,84.9,91.06,90.8,89.43,69.7,56.68,57.04,65.7,18.1,219.9,-172.3,56.11,54.05,3.225,1.165,57.53,3.429,1.025,267.5,215.9,7.9,3.2,42.9,38.0,94.0,112.2,6.5,48.7,5.8,129.0,34.7,75.0,66.0,63.0,23.81,10.31,8.116,20.0,0.0,117.8,112.9,141.4,102.4,5.9,6.4,48.44,0.0,100.0,25.0,49.0,56.0,23.0,56.14,80.96,59.15,58.11,17.5,74.32,201.8
50.0,56.95,57.2,50.76,50.8,85.12,84.9,91.02,90.8,89.35,69.7,56.68,57.12,65.31,18.45,217.7,-170.9,55.5,53.09,3.944,1.526,57.48,3.395,1.036,265.9,214.9,7.9,3.5,42.9,38.0,94.3,112.7,6.3,48.7,5.6,128.7,34.7,74.2,67.0,64.0,23.01,10.02,8.015,20.0,0.0,117.8,112.9,140.4,102.7,5.9,6.4,50.45,0.0,100.0,25.0,49.0,56.0,23.0,56.18,80.59,59.23,58.23,18.14,94.62,201.1
50.0,57.0,57.1,50.76,50.8,85.21,85.1,91.1,91.0,89.43,69.74,56.68,57.17,65.39,18.47,218.4,-171.5,56.1,53.3,4.329,1.5319999999999998,57.62,3.423,1.0270000000000001,266.3,215.8,7.7,3.3,43.1,38.2,94.3,112.7,6.2,48.7,5.6,129.0,34.4,74.7,67.0,64.0,24.97,10.86,8.015,20.0,0.0,118.1,113.3,141.9,102.7,6.1,6.5,52.46,0.0,100.0,25.0,49.0,56.0,23.0,56.22,80.84,59.27,58.23,18.01,99.77,201.3
50.0,56.95,57.2,50.8,50.8,85.25,84.9,91.14,91.0,89.48,69.74,56.77,57.21,65.71,18.56,220.0,-172.8,55.35,53.66,3.96,2.269,57.61,3.378,1.041,267.5,215.8,7.7,3.3,43.1,38.2,94.3,112.7,6.8,48.7,5.6,129.0,34.4,74.5,67.0,64.0,21.19,9.17,8.015,20.0,0.0,118.3,113.1,139.9,100.7,6.1,6.4,54.47,0.0,100.0,25.0,49.0,56.0,23.0,56.26,80.68,59.35,58.31,18.25,91.26,202.3
50.0,57.0,57.2,50.8,50.8,85.21,84.9,91.1,91.0,89.43,69.74,56.73,57.17,65.61,18.53,219.2,-172.1,55.7,53.27,3.957,1.531,57.67,3.3960000000000004,1.035,267.1,215.7,7.6,3.5,43.2,38.3,94.3,112.7,6.5,48.8,5.5,128.7,34.2,74.7,67.0,64.0,22.81,9.888,8.015,20.0,0.0,118.5,113.3,140.9,102.1,6.1,6.4,56.48,0.0,100.0,25.0,49.0,56.0,23.0,56.22,80.64,59.35,58.31,18.22,91.2,202.2
50.0,57.0,57.2,50.8,50.8,85.25,84.9,91.22,91.0,89.52,69.78,56.68,57.21,66.64,19.02,220.0,-172.4,55.78,52.98,4.7010000000000005,1.902,57.89,3.388,1.038,267.6,216.0,7.7,3.3,43.1,38.2,94.3,112.7,6.7,48.7,5.6,129.0,34.5,75.0,68.0,65.0,19.71,8.412,7.914,20.0,0.0,118.3,113.3,141.4,102.2,5.9,6.4,58.49,0.0,100.0,25.0,49.0,56.0,23.0,56.26,80.72,59.68,58.47,18.67,93.62,203.2
50.0,57.12,57.4,50.84,50.9,85.37,86.5,91.26,91.7,89.56,69.83,56.77,57.29,65.62,18.99,219.7,-173.0,56.16,53.02,4.672,1.524,56.48,3.4960000000000004,1.006,267.2,214.7,7.8,3.6,43.3,38.5,95.3,114.7,7.3,48.8,5.3,129.0,33.4,76.9,65.0,62.0,23.23,10.07,8.219,20.0,0.0,118.5,113.3,140.9,100.9,5.1,6.3,0.0,0.0,100.0,15.0,49.0,56.0,37.79,56.34,80.76,60.01,58.76,18.67,89.98,202.7
50.0,54.42,54.1,50.1,50.9,85.86,84.2,90.32,87.7,88.57,64.42,54.23,54.55,49.76,19.49,269.4,-239.1,39.11,37.4,2.8789999999999996,1.1740000000000002,42.77,3.215,1.094,267.7,217.6,7.6,1.7,43.3,38.5,89.4,103.2,0.6,49.3,6.1,133.2,43.8,65.2,49.0,47.0,5.313,3.037,9.926,20.0,0.0,118.5,113.3,139.9,100.6,3.7,3.3,0.0,0.0,100.0,15.0,49.0,56.0,18.55,56.26,76.17,54.85,55.03,23.49,69.11,230.5
50.0,54.62,54.5,50.47,50.3,84.14,84.2,88.32,88.0,86.81,63.72,54.56,54.75,46.59,16.76,257.7,-227.8,37.24,36.65,1.7469999999999999,1.161,46.31,2.827,1.244,267.8,215.3,6.7,2.7,43.6,38.8,90.7,105.7,5.1,49.3,5.5,137.4,47.1,66.7,53.0,51.0,13.43,8.202,9.433,20.0,0.0,118.8,113.3,139.0,98.9,3.8,4.2,0.0,0.0,100.0,15.0,49.0,56.0,17.31,56.26,79.41,54.93,54.95,17.37,41.92,229.7
50.0,53.68,53.3,49.86,49.8,85.41,85.4,89.26,88.5,87.67,62.25,53.53,53.73,43.1,17.74,284.8,-259.4,34.16,32.85,1.74,0.4252,40.65,2.955,1.19,268.9,214.5,6.8,1.7,43.3,38.3,89.9,104.2,3.8,49.0,5.8,138.1,48.5,66.4,47.0,45.0,9.232999999999999,6.093,10.19,20.0,0.0,119.0,113.3,139.9,100.3,3.1,3.3,40.0,0.0,100.0,5.0,49.0,56.0,24.0,56.26,79.57,54.93,54.34,18.26,41.76,237.9
50.0,53.64,53.8,50.35,50.1,84.96,85.1,88.27,88.3,87.02,61.35,53.49,53.85,37.23,14.1,288.3,-265.2,29.52,28.2,3.217,1.896,43.13,2.407,1.4609999999999999,269.6,215.3,6.3,2.5,44.0,39.2,90.5,105.7,4.9,49.6,5.5,143.6,53.1,66.5,50.0,48.0,16.03,12.24,9.8,20.0,0.0,119.2,113.6,140.9,100.9,3.2,3.5,40.0,0.0,100.0,5.0,49.0,56.0,20.0,56.3,80.51,55.13,54.5,13.98,77.21,243.2
50.0,53.47,53.4,50.06,50.0,85.29,84.9,88.73,88.5,87.31,61.27,53.29,53.6,38.51,15.9,291.7,-269.1,30.65,28.96,2.852,1.162,43.14,2.498,1.4080000000000001,268.9,215.5,6.0,2.2,43.8,39.0,90.7,105.7,4.5,49.5,5.9,144.0,53.1,66.4,49.0,47.0,15.52,11.46,9.926,20.0,0.0,119.7,114.0,140.4,100.6,3.6,3.6,40.0,0.0,100.0,5.0,49.0,56.0,20.0,56.34,80.02,55.01,54.38,16.12,68.45,242.2
50.0,53.31,53.3,49.9,49.8,85.21,84.9,88.64,88.2,87.22,61.1,53.12,53.44,38.35,15.83,291.4,-268.9,30.75,29.06,2.861,1.166,40.73,2.655,1.324,267.7,216.3,5.7,1.4,44.1,39.3,89.6,103.7,3.8,49.5,5.4,144.0,54.4,64.4,47.0,45.0,14.03,10.41,10.19,20.0,0.0,120.2,114.2,140.4,99.9,3.3,3.5,40.0,0.0,100.0,5.0,49.0,56.0,20.0,56.38,80.14,54.81,54.17,15.99,68.66,241.0
50.0,53.68,53.9,50.39,50.4,84.76,84.7,88.03,88.0,86.86,61.27,53.49,53.85,36.69,13.16,286.8,-263.2,29.42,27.74,3.2060000000000004,1.524,42.36,2.4419999999999997,1.44,269.0,214.6,6.1,2.2,44.3,39.5,90.2,104.7,4.0,49.8,5.4,146.1,55.2,65.4,49.0,47.0,16.81,13.03,9.926,20.0,0.0,120.4,114.5,140.4,98.7,3.3,3.4,40.0,0.0,100.0,5.0,49.0,56.0,17.0,56.38,80.43,55.26,54.58,13.13,76.95,243.0
50.0,53.76,53.8,50.43,50.6,85.12,84.8,88.44,88.2,87.14,61.39,53.57,53.85,36.98,14.46,287.3,-264.8,29.67,28.0,2.464,0.7886,42.2,2.472,1.422,267.7,213.8,6.6,2.0,44.0,39.2,90.2,104.7,4.9,49.8,5.8,145.4,55.2,65.5,48.0,46.0,16.52,12.7,10.06,20.0,0.0,120.9,115.1,139.9,100.1,3.4,3.2,30.0,0.0,100.0,5.0,49.0,56.0,17.0,56.38,80.68,55.34,54.67,14.29,59.14,241.6
50.0,53.84,53.9,50.47,50.4,85.16,85.1,88.48,88.2,87.18,61.47,53.61,53.93,36.99,14.47,286.9,-264.4,30.12,28.07,2.8360000000000003,0.7902,42.54,2.489,1.412,267.8,214.4,6.8,1.6,43.8,39.0,90.2,104.7,4.9,49.8,6.0,145.8,55.2,65.2,49.0,47.0,18.39,14.14,9.926,20.0,0.0,121.2,115.6,140.9,100.9,3.4,3.3,40.0,0.0,100.0,5.0,49.0,56.0,20.0,56.43,80.59,55.3,54.75,14.37,68.07,241.6
