Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
20,49,62.97,62.6,52.68,52.4,86.15,85.8,95.44,95.7,92.75,78.38,61.84,62.94,103.2,29.86,159.6,-86.22,91.88,81.79,9.779,-0.3065,80.25,4.025,0.8734,266.5,214.2,9.5,0.8,42.9,38,96.5,117.1,4.4,49,6.1,121.7,25.2,78.4,95,91,40.44,11.15,5.533,20,0,112.2,109,140.9,102.2,9.7,10.2,60,0,100,46,49,56,30,55.81,78.02,69.1,66.13,32.27,79.14,129.9
22,49,61.91,61.7,51.58,51.4,86.19,86,95.77,95.9,93,78.14,60.98,61.96,106.6,30.82,165.3,-89.55,92.53,84.25,8.71,0.426,81.99,3.968,0.8861,267,214.9,8.6,0.8,42.4,37.5,96.7,117.6,4,48,5.2,121.7,25,79.6,98,94,32.7,8.728,5.278,20,0,113.6,109.6,141.9,103.9,9.9,10.5,75,0,100,46,49,56,34,55.69,78.22,68.48,65.15,32.83,62.69,130.9
24,49,61.34,61.4,50.84,50.8,86.15,86,95.93,96.1,93.04,77.89,60.41,61.42,108.5,32.08,167.9,-91.54,94.22,85.92,9.099,0.7947,83.27,3.978,0.8838,266.1,215.4,8.6,0.4,42,37.1,96.7,117.1,4.1,47.2,5.2,121.7,25,80,98,94,33.1,8.679,5.278,20,0,114,110.1,140.4,102.5,10.1,10.8,80,0,100,46,49,56,34,55.69,78.22,68.32,64.78,34.17,61.71,130
26,49,61.01,60.9,50.51,50.4,86.07,85.8,95.93,96.1,93.12,77.81,60.04,61.14,109.5,31.19,169.9,-91.6,94.43,85.74,9.855,1.165,83.42,3.98,0.8834,266.3,215.9,8.3,0.9,42,37.1,97,118.1,4.2,46.8,4.8,121.2,24.8,80.5,99,95,30.57,7.942,5.194,20,0,114.7,110.3,139.4,101.8,10.3,10.6,80,0,100,46,49,56,30,55.65,78.42,68.2,64.57,32.87,65.32,131.9
28,49,60.89,60.9,50.35,50.3,86.02,85.8,95.93,95.9,93.04,77.73,59.92,61.06,110,32.12,170,-92.1,94.71,86.03,10.21,1.531,83.69,3.979,0.8836,266.4,215.7,8.7,2.1,41.6,36.7,98,120.1,5.4,46.8,5,121.5,23.5,83.4,99,95,30.01,7.761,5.194,20,0,115.1,110.7,140.9,103.2,10.1,10.6,80,0,100,46,49,56,30,55.61,78.42,68.28,64.53,33.79,65.48,131.6
30,49,60.89,61.1,50.39,50.3,86.07,85.8,95.93,96.1,93.08,77.77,59.88,61.01,108.6,31.4,168.5,-91.31,94.14,85.11,10.19,1.161,84.11,3.935,0.8935,264.2,215.2,8.9,2.4,41.5,36.6,98.5,121.1,6.2,46.8,5.2,121.7,23,84.2,99,95,33.31,8.725,5.194,20,0,115.6,110.9,140.4,104.5,10.1,10.6,80,0,100,46,49,56,30,55.61,78.42,68.28,64.53,33.02,65.34,130.7
32,49,60.84,60.9,50.31,50.3,86.11,85.8,96.05,95.9,93.16,77.77,59.84,60.97,110.1,32.02,170.3,-92.25,94.54,85.5,10.2,1.162,84.36,3.94,0.8923,265.6,215.3,8.6,2.6,41.5,36.6,98.5,121.1,6,46.8,5.3,121.5,23.2,85.2,100,96,29.73,7.682,5.11,20,0,115.6,111.3,139.9,102.3,9.9,10.6,80,0,100,46,49,56,30,55.61,78.67,68.32,64.53,33.32,64.65,132.2
34,49,60.84,60.9,50.31,50.3,86.11,86,96.05,95.9,93.12,77.77,59.84,60.97,110.6,32.63,170.7,-92.7,94.76,85.7,10.22,1.164,84.73,3.932,0.8942,266.8,215.8,8.7,2.9,41.5,36.7,98.7,121.6,6,46.8,5.2,121.5,22.8,85.4,100,96,29.01,7.461,5.11,20,0,116,111.6,139,101.6,9.9,10.6,80,0,100,46,49,56,34,55.52,78.47,68.44,64.62,34.13,64.11,132.9
36,49,60.93,61.1,50.35,50.3,86.15,86,96.1,95.9,93.16,77.81,59.88,61.06,110.3,32.53,170.2,-92.42,94.73,85.35,10.54,1.159,85,3.919,0.8972,266,214.9,8.7,2.6,41.6,36.7,99,121.1,6.5,46.8,5.2,122,22.7,84.4,101,97,30.38,7.836,5.026,20,0,116,111.6,140.4,103.2,9.9,10.8,80,0,100,46,49,56,34,55.52,78.38,68.77,64.86,34.15,64.76,132.6
38,49,60.93,61.1,50.35,50.3,86.19,86,96.18,96.1,93.2,77.81,59.88,61.06,111.1,33.09,171.2,-93.17,95.13,85.7,10.59,1.164,85.21,3.925,0.8957,266.9,215.8,8.5,2.6,41.8,36.9,98.7,121.6,6.1,46.6,5,122,23.3,84.5,102,98,29.12,7.456,4.943,20,0,116.2,111.8,140.4,102.8,10.1,10.8,80,0,100,46,49,56,34,55.52,78.34,68.61,64.74,34.8,65.72,133.3
40,49,60.89,61.1,50.31,50.1,86.15,86,96.22,96.2,93.24,77.85,59.88,61.01,111.4,32.91,170.2,-91.76,95.02,85.98,10.21,1.163,85.37,3.914,0.8984,265.4,215.6,8.8,2.8,41.5,36.6,99,122.1,6.5,46.8,5.2,122,23.2,85.2,102,98,27.86,7.114,4.943,20,0,116.2,112,142.4,105,10.2,10.8,80,0,100,46,49,56,34,55.44,78.22,68.56,64.74,34.67,64.05,131.4
42,49,60.84,60.9,50.27,50.1,86.15,85.8,96.22,96.1,93.2,77.81,59.8,60.97,111.4,33.35,170.2,-92.19,95.26,85.82,10.6,1.166,85.72,3.907,0.8999,265.4,216.1,8.7,2.6,41.6,36.7,98.7,121.6,6.2,46.6,5.1,122,23.5,85.2,102,98,29.13,7.439,4.943,20,0,116.4,112.2,140.9,104.3,10.1,10.8,80,0,100,46,49,56,30,55.44,78.1,68.48,64.7,35.33,67.24,131.6
44,49,60.72,60.8,50.14,50,86.19,86,96.22,96.2,93.24,77.77,59.71,60.89,111,32.93,171.3,-93.19,94.93,85.9,10.57,1.53,85.83,3.889,0.9041,265.6,215.4,8.6,2.8,41.5,36.6,99,122.1,6.4,46.6,5,122,22.7,85.5,102,98,29.29,7.505,4.943,20,0,116.7,112.4,141.4,104.2,10.2,10.8,80,0,100,46,49,56,34,55.48,78.26,68.36,64.57,34.7,67.01,132.4
46,49,60.72,60.9,50.1,50.1,86.19,86,96.26,96.1,93.28,77.81,59.67,60.85,112.2,33.15,172.4,-93.34,95.42,86,10.58,1.163,85.67,3.916,0.8978,267.4,215.6,8.5,2.6,41.5,36.7,99,122.1,6.1,46.4,5,122,23,84.9,102,98,26.69,6.765,4.943,20,0,116.4,112.4,141.9,104.7,10.3,10.8,80,0,100,46,49,56,34,55.44,78.26,68.11,64.41,34.86,68.57,134
48,50,60.6,60.8,49.98,50,86.27,87.2,96.22,96.6,93.32,77.73,59.55,60.69,110.9,32.27,173.9,-95.27,95.5,86.08,10.22,0.7962,81.85,4.103,0.857,267.7,215.8,7.4,3.3,42.4,37.5,99.7,123.6,7.1,46.4,4.2,121.7,22,86.1,96,92,27.54,7.059,5.448,20,0,116.9,112.4,136,98,8.9,11,40.34,0,100,25,49,56,42,55.44,78.67,67.42,64.17,33.34,75.41,135.2
50,50,57.98,57.9,50.92,51.1,87.09,85.6,94.13,92.6,91.48,71.55,57.54,58.11,78.68,29.59,222.8,-173.7,63.94,60.01,5.103,1.173,60.75,3.701,0.9501,268.2,217.5,8.8,1.4,42.1,37.2,94,112.2,3.1,48.3,6,126,31.7,74.5,70,67,8.952,3.236,7.715,20,0,116.9,112.4,141.9,103.5,7,7,32.35,0,100,25,49,56,25,55.44,75.68,59.97,59.42,35.09,122.5,195.9
52,50,56.67,56.5,49.73,49.5,86.02,85.8,92.82,92.5,90.46,70.03,56.4,56.72,75.82,26.35,227.9,-178.5,62.22,59.8,2.85,0.4275,58.02,3.771,0.9324,267.8,215.4,6.5,1,42.8,37.9,93.5,111.2,2.7,47.3,4.7,124.7,31.5,73,67,64,10.21,3.829,8.015,20,0,116.9,112.4,140.4,101.9,6.9,7.2,44.36,0,100,25,49,56,25,55.44,78.06,58.33,57.74,27.96,68.41,197.5
54,50,56.67,57.1,50.59,50.8,84.84,84.5,90.77,90.3,89.03,69.62,56.52,56.96,66.36,19.53,216.9,-170.1,54.73,53.4,3.967,2.642,56.47,3.408,1.032,268.3,216.2,8.5,1.7,42.3,37.4,92,108.2,3.7,48.7,6.4,126.3,34.6,70.5,65,62,15.58,6.678,8.219,20,0,116.9,112.2,139.9,99,5.8,6.3,41.37,0,100,25,49,56,19,55.48,79.74,58.41,57.74,19.33,95.22,202.3
56,50,56.71,56.8,50.31,50.3,85.21,84.9,91.3,91.4,89.6,69.7,56.44,56.84,67.81,18.97,221.2,-172.4,57.72,55.29,3.602,1.167,57.11,3.553,0.9894,266.8,216.4,7.2,1.3,43.1,38.2,92.7,109.7,3.5,48.3,5.2,125.5,32.8,71.4,66,63,21.66,9.084,8.116,20,0,116.9,112.4,137.5,98.5,6.5,6.5,48.38,0,100,25,49,56,22,55.48,80.68,58.41,57.74,18.07,86.45,200.1
58,50,56.5,56.6,50.14,50.3,85.33,85.1,91.43,91.4,89.68,69.62,56.28,56.67,68.16,19.52,224.2,-175.5,57.17,55.11,3.59,1.532,57.17,3.516,1,268.2,215.7,6.9,1.3,43.1,38.3,93,110.2,3.6,48.3,5.1,125.5,32.2,71.5,66,63,18.54,7.737,8.116,20,0,116.9,112.4,140.9,101.7,6.3,6.5,50.39,0,100,25,49,56,22,55.57,80.51,58.37,57.61,18.78,86.16,202.3
60,50,56.46,56.6,50.14,50.1,85.33,85.1,91.39,91.2,89.68,69.66,56.28,56.67,67.37,18.97,222.6,-174.2,56.52,54.83,3.572,1.889,57.17,3.476,1.012,266.9,214.6,7,1.5,43.1,38.2,92.5,109.7,3.3,48.2,5.2,125.5,33,71.5,66,63,19.01,8.025,8.116,20,0,116.9,112.4,139.9,100.9,6.1,6.5,52.4,0,100,25,49,56,22,55.57,80.47,58.41,57.66,18.28,85.72,201.2
62,50,56.5,56.8,50.14,50.3,85.29,84.9,91.35,91.4,89.64,69.62,56.23,56.67,67.76,19.08,223.9,-175.2,57.18,54.75,3.959,1.532,57.06,3.523,0.998,268.5,215.7,7,1.3,43.1,38.2,92.7,109.7,3.3,48.3,5.2,125.5,33,71.7,66,63,19.84,8.328,8.116,20,0,117.1,112.4,140.4,101.1,6.3,6.7,54.41,0,100,25,49,56,22,55.65,80.47,58.66,57.7,18.45,95.01,202.8
64,50,56.55,56.9,50.18,50.3,85.29,85.1,91.35,91.2,89.64,69.7,56.32,56.76,67.7,19.07,222.8,-174.2,56.98,54.93,3.945,1.893,57.14,3.507,1.003,268.2,215,7.6,1.5,42.8,37.9,92.7,109.7,3.1,48.3,5.2,125.2,32.7,71.5,66,63,19.46,8.175,8.116,20,0,117.1,112.4,139.4,100.4,6.1,6.5,56.42,0,100,25,49,56,22,55.65,80.47,58.98,57.86,18.43,84.3,202.1
66,50,56.75,57.1,50.35,50.3,85.33,85.1,91.39,91.4,89.64,69.78,56.4,56.88,67.54,19.48,221.4,-173.3,57.58,54.42,4.33,1.165,57.22,3.538,0.9938,267.6,215.9,7.2,1.3,43.2,38.3,92.7,109.7,3.3,48.5,5.3,125.5,32.8,71.4,66,63,22.23,9.361,8.116,20,0,116.9,112.4,140.4,100.9,6.1,6.7,58.44,0,100,25,49,56,22,55.65,80.51,59.68,58.27,18.8,73.7,201.8
68,50,56.95,57.2,50.55,50.8,85.41,85.3,91.47,91.6,89.72,69.91,56.64,57.21,67.7,19.52,221.4,-173.2,57.76,54.96,5.083,2.277,57.26,3.547,0.9912,268.2,216.5,7.9,1.4,43.1,38.2,93,110.2,3.6,48.7,5.8,125.5,32.7,71.7,66,63,22.34,9.386,8.116,20,0,117.1,112.4,139,99.7,6.3,6.4,55.45,0,100,25,49,56,22,55.69,80.47,60.38,58.72,18.91,73.68,201.6
70,50,57.2,57.4,50.72,50.8,85.45,85.1,91.59,91.4,89.76,70.03,56.81,57.41,68.7,20.46,220.8,-172.6,58.24,54.71,5.426,1.898,58.04,3.528,0.9966,268.5,215.6,7.6,1.6,43.2,38.3,93,110.2,3.6,48.7,5.5,125.7,32.7,72.5,67,64,21.25,8.798,8.015,20,0,117.1,112.4,139.9,100.9,6.1,6.6,57.46,0,100,25,49,56,22,55.69,80.06,60.62,59.01,20.15,80.66,202
72,50,57.16,57.4,50.63,50.6,85.49,85.3,91.67,91.7,89.84,69.99,56.73,57.37,69.38,20.53,222.9,-174,58.49,54.6,5.782,1.894,58.12,3.538,0.9937,269.4,215.1,7.6,1.4,43.2,38.3,93,110.2,3.4,48.7,5.6,125.5,32.5,72,67,64,19.82,8.126,8.015,20,0,117.1,112.7,140.4,101.2,6.3,6.6,59.47,0,100,25,49,56,22,55.73,79.94,60.54,59.01,20.35,90.54,203.4
74,50,57.16,57.4,50.59,50.6,85.49,85.3,91.67,91.6,89.8,69.99,56.68,57.37,69.28,20.96,222.1,-173.8,59,54.74,6.165,1.899,58.17,3.566,0.9859,269,215.7,7.4,1.4,43.2,38.3,93,110.2,3.8,48.5,5.6,125.5,32.3,71.9,67,64,22.02,9.038,8.015,20,0,117.1,112.9,138.5,99.2,6.5,6.8,61.48,0,100,25,49,56,22,55.77,79.57,61.81,59.37,21.13,60.81,202.7
76,50,57.53,57.9,50.84,50.9,85.53,85.3,91.75,91.7,89.84,70.11,56.89,57.7,69.35,21.3,219.9,-171.9,60.33,54.57,7.296,1.537,58.42,3.631,0.9682,267.5,216.5,7.7,1.5,43.2,38.3,93.2,110.7,3.9,48.8,5.5,125.5,32,72.4,67,64,26.71,10.95,8.015,20,0,117.4,112.9,140.4,100.8,6.3,7,63.49,0,100,25,49,56,22,55.77,79.65,62.55,60.11,21.4,71.96,201.1
78,50,57.77,57.9,51.13,51.7,85.82,87,91.84,90.8,90.01,70.28,57.13,57.9,67.15,20.41,220.2,-173.5,59.69,53.96,6.895,1.162,44.93,4.671,0.7528,267.9,215.5,9,0.9,42.9,38,91.7,107.7,2.6,49.6,6.7,125.7,34.3,70.2,50,48,18.68,7.912,9.8,20,0,117.4,112.9,137,97.5,3.8,5.9,0,0,100,15,49,56,41.66,55.77,79.61,61.81,60.36,20.55,114.1,202.2
80,50,56.95,56.8,52.6,52.5,85.37,85.3,89.75,89.4,87.96,65.81,56.73,57.04,48.99,20,247.8,-218.8,39.14,37.08,2.854,0.7956,46.95,2.931,1.199,268.5,215.7,8.4,1.3,44.3,39.5,90.7,105.7,2.7,50.9,6.8,134.4,43.7,66.4,53,51,12.31,7.145,9.433,20,0,117.4,112.9,140.4,100.1,4.1,4.3,0,0,100,15,49,56,19.59,55.81,78.18,57.55,57.61,21.46,68.49,228.3
82,50,56.01,56,51.74,51.7,85.49,85.3,89.75,89.6,88.12,65.12,55.95,56.1,47.67,18.19,257.7,-228.2,38.48,37.89,1.385,0.7966,46.75,2.894,1.215,268.8,216.1,7.6,1.1,43.8,39.3,90.7,105.7,2.7,50.4,6.3,136.5,45.5,66.7,53,51,14.41,8.599,9.433,20,0,117.8,112.9,138,98.2,4.3,4.3,0,0,100,15,49,56,17.52,55.77,79.61,56.44,56.47,18.31,33.23,229.3
84,50,54.83,54.2,50.72,50.3,86.23,86,90.4,90.1,88.37,63.15,54.6,54.75,47.07,22.93,284.3,-260.2,36.53,34.49,1.367,-0.6698,46.79,2.745,1.281,270.6,213.3,6.3,1.1,43.8,39,91,106.7,2.5,49.6,6,137.1,45.8,67.9,53,51,9.74,5.886,9.433,20,0,118.3,113.1,139,99.2,4.3,4.1,40,0,100,5,49,56,24,55.89,78.26,55.58,55.2,24.6,32.81,237.8
86,50,53.31,53.6,49.98,50.3,85.74,84.9,89.18,88.2,87.8,61.35,53.2,53.6,38.65,15.5,297.3,-274.2,29.91,28.96,3.586,2.633,41.65,2.525,1.392,269.8,215.5,6.8,1.2,43.5,38.7,89.4,103.2,0.7,49.6,6.1,140,51.5,64.1,48,46,10.92,8.039,10.06,20,0,118.8,113.3,139,99,3.3,3.3,40,0,100,5,49,56,17,55.89,77.97,54.72,54.22,16.84,86.07,243.5
88,50,53.6,53.8,50.18,50.3,85.62,85.4,89.01,88.9,87.72,61.39,53.49,53.81,38.08,14.54,295.1,-271.6,30.54,29.59,2.841,1.891,42.37,2.534,1.387,269.1,214.7,6.3,1,44,39.2,89.9,104.2,1.9,49.6,5.5,143.2,53.3,64.7,49,47,15.84,11.83,9.926,20,0,119,113.8,139,97.9,3.6,3.5,40,0,100,5,49,56,20,55.89,80.8,54.97,54.42,14.01,68.19,242.1
90,50,53.6,53.8,50.22,50.3,85.41,85.3,88.81,88.7,87.43,61.31,53.45,53.81,38.32,15.55,294.7,-271.9,30.32,28.99,3.223,1.9,42.29,2.521,1.395,270.8,215.8,6.5,0.9,43.8,39,89.6,103.7,1.9,49.8,6,143.2,54,64.2,49,47,14.14,10.5,9.926,20,0,119.7,114,139.4,99.4,3.4,3.4,40,0,100,5,49,56,17,55.89,80.23,55.05,54.42,15.34,77.36,244.1
92,50,53.6,53.8,50.27,50.3,85.45,85.3,88.89,88.7,87.55,61.35,53.49,53.81,38.68,15.05,294.8,-271.2,29.89,28.94,2.85,1.896,42.33,2.483,1.416,270,215.4,6.3,0.7,44,39.2,89.4,103.2,2.3,49.6,5.6,144,54.6,64.7,49,47,11.43,8.408,9.926,20,0,120.2,114.5,138.5,98,3.4,3.5,40,0,100,5,49,56,17,55.93,80.47,55.09,54.5,14.72,68.39,243.5
94,50,53.6,53.8,50.22,50.4,85.37,85.1,88.77,88.5,87.39,61.35,53.45,53.81,38.3,15.55,293.6,-270.9,30.5,29.17,3.243,1.911,42.29,2.536,1.387,270.6,217.1,6.6,0.9,43.8,39,89.6,103.7,2.4,49.8,5.8,144,54.4,64.2,48,46,14.87,11.04,10.06,20,0,120.4,114.9,137.5,97.9,3.4,3.4,40,0,100,5,49,56,17,56.02,80.06,55.05,54.5,15.52,77.83,243.8
96,50,53.6,53.8,50.22,50.3,85.29,85.1,88.68,88.5,87.35,61.31,53.45,53.81,38.1,15,292.1,-269,30.16,28.85,3.207,1.89,42.26,2.51,1.401,269.2,214.7,6.8,0.9,43.5,38.7,89.4,103.2,1.9,49.6,5.8,143.6,54.5,64.2,49,47,14.35,10.71,9.926,20,0,121.2,114.9,138.5,98.5,3.6,3.5,40,0,100,5,49,56,17,55.98,80.02,55.05,54.5,14.97,76.97,242.6
98,50,53.6,53.8,50.22,50.3,85.29,85.3,88.68,88.3,87.26,61.27,53.45,53.77,38.22,15.97,292.5,-270.3,30.2,28.89,2.845,1.526,42.23,2.515,1.398,270,215,6.6,1.1,43.5,38.7,89.4,103.2,2.6,49.6,5.8,144,54.4,64.4,49,47,14.05,10.46,9.926,20,0,121.2,115.3,137.5,97.7,3,3.7,40,0,100,5,49,56,17,56.02,80.06,55.05,54.46,15.94,68.27,243.4
100,50,53.6,53.6,50.18,50.3,85.29,85.1,88.64,88.5,87.35,61.27,53.41,53.73,37.52,14.5,291.5,-268.5,30.33,28.66,2.822,1.15,42.19,2.527,1.391,268.3,213.3,6.5,1.1,43.8,39,89.6,103.7,2.2,49.6,6,143.6,54.7,64.5,48,46,16.93,12.83,10.06,20,0,121.7,116,138.5,98.9,3.6,3.2,40,0,100,5,49,56,17,56.02,80.1,55.01,54.42,14.44,67.73,241.9
102,50,53.56,53.6,50.18,50.3,85.29,85.1,88.64,88.3,87.31,61.27,53.37,53.69,37.75,15.05,292.9,-270.2,30.21,28.53,2.845,1.16,42.28,2.512,1.4,270,215,6.8,1.1,43.5,38.7,89.4,103.2,2.4,49.8,6.2,144,54.6,65,48,46,15.76,11.87,10.06,20,0,122,116,137.5,97.9,3.2,3.3,40,0,100,5,49,56,17,56.06,80.1,54.97,54.42,15.02,68.28,243.7
104,50,53.52,53.6,50.14,50.3,85.29,85.1,88.64,88.3,87.31,61.23,53.37,53.69,37.71,15.03,293.1,-270.4,30.31,28.98,2.854,1.532,42.24,2.522,1.394,269.7,215.7,6.7,1.1,43.6,38.8,89.4,103.2,2.7,49.6,6,144.3,54.4,64.7,48,46,16.21,12.22,10.06,20,0,122.2,116.4,139.4,99.8,3.4,3.3,40,0,100,5,49,56,17,56.1,80.1,54.93,54.38,15.03,68.5,243
106,50,53.52,53.6,50.14,50.1,85.33,84.9,88.68,88.3,87.31,61.19,53.33,53.64,37.77,15.51,294,-271.7,30.14,28.45,2.838,1.157,42.23,2.509,1.402,270.1,214.5,6.7,1.1,43.6,38.8,89.6,103.7,2.4,49.6,6.2,144,54.7,65,48,46,15.41,11.6,10.06,20,0,122.5,116.2,138,98,3.2,3.3,40,0,100,5,49,56,17,56.1,80.1,54.93,54.38,15.51,68.11,244
108,49,53.52,53.6,50.1,50.3,85.25,83.5,88.68,87.8,87.35,61.27,53.37,53.69,38.51,14.98,292.1,-268.6,30.64,29.32,2.851,1.53,45.33,2.376,1.48,268.8,215.4,7.4,0,42.9,38,87.4,99.8,0.8,49.6,6.3,144,56.3,61.3,50,48,17.67,13.05,9.8,20,0,122.5,116.4,139,100,4.6,3.3,30,0,100,26.03,49,56,18,56.14,80.1,54.89,54.38,15.01,68.42,241.9
110,49,55.81,56.3,50.18,50,81.81,81.5,87.25,87.3,85.71,67.7,55.74,56.02,61.48,17.42,203.4,-159.4,50.32,49.74,2.475,1.891,54.88,3.224,1.091,271,214.7,6.9,1.8,43.1,38.2,89.1,102.8,4,48.7,5.6,132.9,43.2,64.3,61,59,15.66,7.244,8.534,20,0,122.5,116.4,138,98.8,5.8,6.3,30,0,100,32.24,49,56,18,56.14,78.38,57.22,56.63,18.79,59.4,204.8
