Time (minutes),TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
20,49,64.28,64,51.25,50.6,85.9,85.8,93.8,94.1,91.44,79.82,63.03,64.21,87.94,26.28,129.4,-67.74,75.84,68.55,6.851,-0.438,72.71,3.668,0.9587,267.1,139.6,8.2,2.1,42.4,37.5,96.2,116.6,5.8,47.3,5.2,123.5,26.7,80.1,86,82,30.17,9.759,6.317,20,0,109.6,100.5,142.9,104.7,8.3,13.4,70,0,100,46,49,31,35,59.13,78.59,68.97,66.95,32.41,81.23,125.6
22,49,63.06,62.8,49.94,49.6,85.74,85.6,93.84,93.7,91.48,79.41,62.01,63.1,90.27,26.3,134.5,-70.51,76.57,70.46,6.395,0.2777,72.12,3.733,0.9418,267.3,140.1,7.6,2.8,42,37.1,96.5,117.1,5.7,46.6,4.6,123,27,79.4,85,81,23.94,7.544,6.406,20,0,110.5,102.5,143.9,106.3,8.3,13.2,80,0,100,46,49,31,35,58.96,78.59,68.28,65.64,32.16,58.18,127.3
24,49,62.6,62.8,49.57,49.5,85.62,85.3,93.68,93.5,91.36,79.2,61.48,62.73,89.18,25.66,134.4,-70.92,77.1,70.42,7.448,0.7655,71.49,3.792,0.9272,265.4,142,7.7,2.7,41.8,36.9,96.2,116.6,5.7,46.1,4.3,123,26.8,79.7,85,81,29.02,9.255,6.406,20,0,111.3,104.1,143.9,106.3,8.1,13.3,80,0,100,46,49,31,30,58.92,79.28,68.48,65.68,30.24,63.8,126.4
26,49,62.65,62.8,49.77,49.6,85.57,85.3,93.56,93.5,91.36,79.2,61.52,62.82,89.07,24.52,135.7,-71.1,75.64,69,7.641,1.001,70.96,3.748,0.9381,267.8,141,8.1,2.2,41.2,36.3,95.7,115.6,6.1,46.1,4.6,123,27.3,79.4,84,80,23.74,7.579,6.496,20,0,112,105.1,142.4,105.2,8.1,13.2,80,0,100,46,49,31,30,58.84,79.65,68.69,65.84,28.28,64.51,131.6
28,49,62.77,62.9,49.94,49.6,85.57,85.4,93.56,93.4,91.28,79.2,61.6,62.9,88.64,25.31,134.1,-70.76,75.91,68.98,7.693,0.7657,71.2,3.749,0.938,266.5,142,8.3,2.6,41.5,36.6,96,116.1,5.9,46.1,4.6,123.5,27.7,79.4,82,79,26.43,8.479,6.586,20,0,112.7,106.3,142.4,105.2,8.1,13.1,80,0,100,46,49,31,30,58.76,79.61,68.73,65.89,29.13,64.94,129.4
30,49,62.85,63.1,49.98,50,85.57,85.4,93.52,93.4,91.28,79.24,61.68,62.98,88.04,24.81,133.4,-70.19,75.45,68.59,7.622,0.759,71.17,3.727,0.9433,266.1,140.7,8.8,2.8,41.2,36.3,96.2,116.6,6.1,46.1,4.9,123.5,27,80.8,84,80,26.9,8.69,6.496,20,0,113.3,107.1,144.4,107.2,8.1,13.1,70,0,100,46,49,31,30,58.72,79.61,68.77,65.97,28.5,65.28,129.3
32,49,62.89,62.9,50.1,50,85.57,85.4,93.56,93.4,91.28,79.28,61.76,63.06,88.86,25.37,133.5,-70.02,75.21,68.56,7.646,1.002,71.2,3.714,0.9467,267.2,141.1,8.8,4.3,41.3,36.4,97.7,119.6,7.4,46.1,4.9,123.5,26,83,82,79,23.2,7.425,6.586,20,0,113.8,108,144.4,107.2,8.1,12.8,70,0,100,46,49,31,30,58.64,79.57,68.89,66.05,29.09,64.54,130
34,49,62.97,63.1,50.1,50,85.57,85.4,93.6,93.5,91.32,79.28,61.8,63.1,89.57,25.45,134.3,-70.22,75.44,68.58,7.621,0.7589,71.72,3.698,0.9507,267.9,140.7,8.8,4.7,41.2,36.3,98.2,120.6,8.1,46.1,4.6,123.5,25,83.8,84,80,22.04,6.997,6.496,20,0,114,108.4,144.4,107,8.1,13.3,70,0,100,46,49,31,30,58.64,79.61,69.06,66.17,29.11,63.42,131.2
36,49,62.97,63.1,50.1,49.8,85.57,85.3,93.6,93.5,91.24,79.24,61.8,63.1,88.9,26.16,132.9,-70.15,75.43,68.57,7.62,0.7588,71.45,3.712,0.9472,265.9,140.6,8.5,4.5,41.5,36.6,98,120.1,8.1,46.1,4.6,123.2,25.5,83.7,84,80,24.07,7.701,6.496,20,0,114.5,109,145.4,108.5,8.1,13.1,80,0,100,46,49,31,30,58.55,79.2,69.1,66.17,30.41,62.53,128.7
38,49,62.97,62.9,50.1,50,85.62,85.4,93.6,93.5,91.32,79.24,61.76,63.1,88.73,25.34,134.2,-70.83,76.25,69.07,7.945,0.767,71.26,3.762,0.9347,266.8,142.2,8.2,4.7,41.6,36.9,98.2,120.6,7.9,46.1,4.3,123.2,25.3,83.9,84,80,27.36,8.77,6.496,20,0,114.7,109.2,143.4,106.2,8.2,12.9,70,0,100,46,49,31,30,58.55,79.28,69.14,66.17,29.33,64.29,129.5
40,49,62.97,63.1,50.1,50,85.57,85.4,93.64,93.5,91.24,79.24,61.76,63.1,88.86,26.47,132.2,-69.76,75.87,68.73,7.906,0.7633,71.39,3.736,0.941,264.5,141.5,8.3,4.5,41.5,36.6,98,120.1,8.1,46.1,4.6,123.5,25.2,83.4,84,80,25.72,8.231,6.496,20,0,114.9,109.8,142.9,105.8,8.2,13.3,70,0,100,46,49,31,30,58.55,79.2,69.1,66.17,30.77,64.87,126.9
42,49,62.97,63.1,50.1,50,85.66,85.3,93.68,93.5,91.36,79.33,61.8,63.18,89.19,25.79,133.8,-70.38,75.62,68.74,8.12,1.242,71.58,3.714,0.9467,266.8,141,8.9,4.5,41.2,36.3,98,120.1,7.9,46.3,5.1,123.5,25.5,83.4,84,80,23.86,7.607,6.496,20,0,115.1,110.1,143.9,106.7,8.2,13,70,0,100,46,49,31,30,58.51,79.49,69.18,66.21,29.51,65.71,129.7
44,49,63.1,63.3,50.27,50.1,85.62,85.4,93.68,93.5,91.32,79.33,61.84,63.23,89.57,26.22,133.2,-69.86,74.92,67.6,8.07,0.7561,71.47,3.685,0.9541,266.6,140.1,8.6,4.7,41.5,36.6,98.2,120.6,8.1,46.3,4.8,123.5,25.5,83.7,84,80,19.97,6.34,6.496,20,0,115.3,110.5,143.4,106.3,8.2,13.2,70,0,100,46,49,31,30,58.51,79.24,69.96,66.66,30.36,58.81,131.3
46,49,63.3,63.4,50.35,50.4,85.66,85.4,93.68,93.5,91.36,79.41,62.01,63.39,89.09,25.76,132.7,-69.39,76.28,68.66,8.139,0.521,71.5,3.751,0.9373,266.5,141.3,8.8,4.5,41.5,36.6,98,120.1,7.9,46.4,4.9,123.7,25.5,83.9,84,80,26.45,8.443,6.496,20,0,115.3,110.5,143.9,104.5,8.1,13.1,70,0,100,46,49,31,30,58.51,79.41,70,66.83,29.6,61.61,128.6
48,50,63.26,63.4,50.39,50.3,85.66,86.5,93.68,93.4,91.32,79.33,62.05,63.39,89.34,26.29,133.5,-70.5,75.86,68.71,7.904,0.7627,65.04,4.1,0.8575,267.2,141.4,8.5,4.3,41.8,36.9,97.7,119.6,7.4,46.4,4.6,123.7,26,82.9,74,71,17.63,5.612,7.328,20,0,115.6,110.9,143.4,106,6.6,13.1,40.34,0,100,25,49,31,36,58.51,78.92,68.73,66.7,30.93,93.72,129.7
50,50,60.11,59.3,50.02,49,87.5,87.3,94.13,93.9,91.56,73.35,59.3,59.95,73.64,28.5,202.3,-157.2,59.45,54.72,3.802,-0.9268,61.37,3.406,1.032,266.5,141.4,6.7,3.5,42.3,37.4,97.2,118.6,6,46.4,4.1,127.9,30.5,81.4,71,68,11.48,4.433,7.617,20,0,115.7,111.1,145.4,107.2,6.6,10.3,42.35,0,100,25,49,31,36,58.51,78.34,61.64,61.22,34.49,91.25,194.4
52,50,59.08,58.9,50.72,50.8,85.49,85.3,91.02,90.7,89.15,71.96,58.77,59.21,61.67,20.87,191.9,-151.1,48.82,47.01,2.57,0.7555,55.32,3.103,1.133,267.8,140,8.8,2.8,42,37.1,93.5,111.2,5.8,47.8,5.8,131.5,38,74.3,64,61,10.15,4.679,8.323,20,0,116,111.1,143.4,105.4,5.4,8.1,34.36,0,100,25,49,31,25,58.47,78.96,60.46,59.95,24.45,61.67,202.2
54,50,58.72,58.8,50.18,50,85.45,85.3,91.02,90.7,89.27,71.79,58.4,58.76,62.4,19.58,195.9,-153.1,50.31,48.47,2.114,0.2805,55.84,3.167,1.11,269,141.5,7.6,3,42.4,37.5,93.7,111.7,5.9,47.5,5.1,130.7,37,74.3,64,61,13.33,6.074,8.323,20,0,116.4,111.1,142.9,104.5,5.4,8.8,46.37,0,100,25,49,31,25,58.47,80.02,60.21,59.62,21.81,50.74,202.5
56,50,58.26,58.3,49.86,50,85.41,85.1,90.9,90.3,89.31,71.59,57.95,58.44,61.46,17.74,198.6,-154.9,49.57,47.74,2.838,1.005,53.02,3.288,1.069,268.9,141.5,7.9,2.9,42.1,37.2,93.2,110.7,5.4,47.5,5.4,130.4,37.2,73.5,60,58,11.24,5.2,8.641,20,0,116.7,111.3,141.9,103.5,4.9,8.3,48.38,0,100,25,49,31,21,58.55,80.23,59.97,59.29,19.65,68.11,204.3
58,50,58.51,58.8,50.35,50.4,85.29,85.1,90.53,90.3,89.03,71.63,58.24,58.68,58.55,16.78,194.4,-152.7,47.93,46.35,2.586,1.001,54.12,3.114,1.129,268.2,140.9,7.7,2.9,42.6,37.7,93.2,110.7,5.7,47.8,5,131.2,38,74,63,60,16.78,8.152,8.428,20,0,117.1,111.6,143.9,102.6,5.2,8.5,50.39,0,100,25,49,31,21,58.6,81.33,60.21,59.54,17.71,62.07,204.3
60,50,58.67,58.9,50.51,50.4,85.33,85.1,90.57,90.3,89.07,71.75,58.4,58.8,58.82,16.86,194.4,-152.5,47.42,45.85,2.321,0.7522,54.12,3.081,1.141,269.5,139.4,7.6,2.7,42.8,37.9,93,110.2,6,48,5.4,131.2,37.9,72.5,61,59,14.01,6.776,8.534,20,0,117.1,111.8,143.9,105.1,5,8.5,52.4,0,100,25,49,31,21,58.6,80.96,60.46,59.7,18.09,55.7,205.9
62,50,58.76,58.9,50.59,50.6,85.33,84.9,90.61,90.3,89.07,71.79,58.49,58.89,59.32,17.33,194.1,-152.1,48.03,46.44,2.35,0.7615,54.22,3.115,1.129,269.6,141.2,8,3.2,42.6,37.7,93.2,110.7,5.8,48,5.4,131.2,38,73.5,63,60,14.53,6.967,8.428,20,0,117.6,111.8,142.4,104.2,5.2,8.3,44.41,0,100,25,49,31,21,58.64,80.72,60.66,59.87,18.83,56.41,205.1
64,50,58.8,59.1,50.59,50.6,85.33,84.9,90.65,90.3,89.11,71.79,58.49,58.93,59.64,17.29,194.1,-151.7,48.19,46.36,2.587,0.7602,54.37,3.116,1.128,269,141,7.6,2.9,42.8,37.9,93.2,110.7,5.7,48,5.2,131.2,38,72.8,61,59,14.12,6.732,8.534,20,0,117.6,112.2,143.9,104.9,5.2,8.3,46.42,0,100,25,49,31,21,58.68,80.72,60.87,59.99,18.82,62.08,204.7
66,50,58.84,59.1,50.59,50.6,85.37,85.3,90.65,90.5,89.11,71.75,58.49,58.97,58.97,17.23,193.9,-152.1,48.94,46.85,2.857,0.7679,54.49,3.158,1.113,268.1,142.5,7.8,3.2,42.8,37.9,93.7,111.7,6,48,5.2,131.2,37.5,73.5,61,59,19.22,9.267,8.534,20,0,117.8,112.4,143.9,105.1,5.2,8.5,48.44,0,100,25,49,31,25,58.72,80.76,61.28,60.15,18.76,61.05,203.3
68,50,58.92,59.1,50.72,50.8,85.33,85.3,90.69,90.5,89.19,71.87,58.53,59.17,59.8,16.74,193.1,-150.1,47.97,45.67,3.772,1.475,54.77,3.079,1.142,267.7,140.3,8,3.2,42.8,37.9,93.7,111.7,6.2,48.2,5.6,130.9,37.5,73.3,63,60,13.18,6.269,8.428,20,0,117.8,112.7,142.4,103.4,5.2,8.5,50.45,0,100,25,49,31,25,58.76,80.84,61.56,60.44,18.2,80.6,204.4
70,50,59.04,59.3,50.8,50.8,85.37,85.3,90.73,90.5,89.11,71.87,58.57,59.21,59.94,18.16,192.7,-150.9,48.44,45.65,3.79,1.001,54.85,3.105,1.132,268.3,141,8,3,42.8,37.9,93.5,111.2,5.5,48.2,5.6,131.2,37.7,73.3,63,60,14.44,6.851,8.428,20,0,118.3,112.9,142.9,104.2,5.2,8.5,52.46,0,100,25,49,31,25,58.76,80.47,61.73,60.56,20.07,78.14,204.7
72,50,59.08,59.3,50.8,50.6,85.41,85.3,90.73,90.7,89.11,71.87,58.57,59.25,59.32,18.11,192.1,-150.9,48.48,45.47,4.014,0.997,55,3.1,1.134,267.6,140.4,7.9,2.5,42.8,37.9,93.2,110.7,5.8,48.2,5.3,131.2,37.5,73.8,63,60,16.88,8.095,8.428,20,0,118.3,112.9,143.9,104.7,5.6,8.5,54.47,0,100,25,49,31,25,58.8,80.39,61.81,60.6,20.13,79.94,204.3
74,50,59.08,59.4,50.8,50.8,85.45,85.4,90.81,90.8,89.23,71.91,58.57,59.25,59.96,17.7,193.6,-151.4,48.46,45.45,4.012,0.9965,54.99,3.099,1.135,268.4,140.4,8.2,3,42.8,37.7,93.5,111.2,5.8,48.2,5.6,130.7,37.4,73.7,63,60,14.57,6.913,8.428,20,0,118.3,113.1,143.4,104.4,5.4,8.6,56.48,0,100,25,49,31,25,58.88,80.59,61.85,60.6,19.57,77.28,205.4
76,50,59.12,59.3,50.8,50.8,85.49,85.4,90.85,90.5,89.23,71.96,58.61,59.29,59.36,17.98,191.2,-149.9,48.88,45.86,4.028,1,55.06,3.122,1.126,265.7,140.9,7.8,2.8,42.8,37.9,93.7,111.2,5.9,48.3,5.4,130.9,37.5,73.3,63,60,18.23,8.737,8.428,20,0,118.3,113.1,144.4,105.9,5.4,8.7,58.49,0,100,25,49,31,25,58.88,80.47,61.89,60.64,19.99,77.58,202
78,50,59.21,59.4,50.8,50.8,85.57,86.5,90.85,91.4,89.23,71.96,58.61,59.34,59.04,18.16,193.2,-152.3,49.34,45.84,4.267,0.7599,54.94,3.158,1.113,268.3,140.8,7.6,3.6,43.2,38.3,95,114.2,7.3,48.2,5.1,131.2,36.2,75.9,63,60,20.86,10.05,8.428,20,0,118.5,113.1,144.9,105.7,4.8,8.6,0,0,100,15,49,31,35.86,58.92,80.39,62.05,60.93,20.3,91.16,204.7
80,50,56.42,55.8,49.69,49.6,86.68,86,91.3,89.2,89.31,66.63,55.95,56.31,52.18,22.48,255.9,-226.2,39.61,36.82,2.11,-0.6843,37.12,3.752,0.9371,270.8,141.3,4.7,0.2,44.9,40.1,89.4,103.2,0.9,48.2,3.3,134.1,44.7,63.1,43,41,-7.064,-3.85,10.74,20,0,118.8,113.1,143.4,102.1,3.4,6.2,0,0,100,15,49,31,35.03,58.92,77.48,56.98,57.04,29.07,50.64,231.8
82,50,56.26,56.1,50.43,50,84.92,85.3,88.93,89,87.39,65.73,56.03,56.31,45.01,17.31,243.1,-215.3,34.29,32.94,1.627,0.2795,46.98,2.566,1.37,269.4,141.2,6.8,2.7,43.2,38.3,91.7,107.7,5.7,48.7,5.5,139.7,47.7,69.2,53,51,9.276,5.861,9.433,20,0,118.8,113.3,143.4,103.8,3.7,6.1,0,0,100,15,49,31,23.21,58.92,80.1,56.57,56.59,19.61,39.05,232.8
84,50,55.15,55.3,50.1,49.8,85.62,85.4,89.13,88.9,87.59,64.13,54.96,55.32,39.54,17.33,263.6,-241.4,29.7,28.6,2.108,1.002,44.73,2.335,1.506,269.7,141.1,6.3,2.1,43.5,38.7,91,106.2,4.4,48.7,5.2,141.3,50,68.5,51,49,10.13,7.288,9.675,20,0,119.2,113.3,142.9,102.9,3.5,5.5,40,0,100,5,49,31,23,58.92,79.16,56.4,55.89,20.55,50.6,240.4
86,50,54.95,55.5,50.96,51.2,84.51,84.3,87.37,87.2,86.28,62.99,54.84,55.28,32.17,12.26,261.6,-241.7,23.4,22.78,2.585,1.962,42.41,1.94,1.812,269.6,140.9,8.1,2.4,43.2,38.2,89.1,102.8,3.7,50,7,147.6,58.9,65.5,47,45,11.59,10.24,10.19,20,0,119.5,113.8,140.4,101.4,3,4.3,20,0,100,5,49,31,16,58.96,79.24,56.2,55.85,14.51,62.05,246.1
88,50,55.11,55.2,50.47,50.4,85.41,85.3,88.68,88.3,87.35,63.11,54.84,55.24,36.64,14.97,271.3,-249.6,27.25,25.66,2.345,0.7598,41.95,2.284,1.539,268.6,140.9,7.2,1.9,43.2,38.3,90.5,104.7,4.7,49.3,6.1,148,56.7,66.4,48,46,8.921,6.925,10.06,20,0,120.2,114.2,139.9,100.9,3,4.8,40,0,100,5,49,31,23,59,80.27,56.49,55.94,16.9,56.28,243.2
90,50,54.95,54.9,50.22,50.1,85.37,85.3,88.64,88.7,87.26,62.95,54.72,55.04,36.6,15.41,271.9,-250.7,27.62,26.28,1.857,0.5177,42.45,2.288,1.537,268.3,140.3,6.5,1.5,43.6,38.8,90.2,104.7,4.5,49.3,5.5,146.5,56.4,66.9,49,47,10.88,8.455,9.926,20,0,120.7,114.7,140.9,100.6,3.6,4.8,40,0,100,5,49,31,23,59.05,79.98,56.36,55.89,17.67,44.57,242.4
92,50,54.66,54.7,49.94,49.8,85.41,85.3,88.77,88.5,87.39,62.74,54.39,54.79,37.6,15.45,276.2,-254,28.01,26.41,2.369,0.7679,42.36,2.325,1.512,268.9,142.3,6.2,2,43.6,38.8,90.5,105.2,4.5,49,5.4,146.1,55.6,67,49,47,8.64,6.535,9.926,20,0,121.2,114.9,141.9,101.6,3.2,4.9,40,0,100,5,49,31,23,59.05,80.06,56.08,55.57,17.64,56.86,243.2
94,50,54.46,54.4,49.73,50,85.33,84.9,88.56,87.7,87.22,62.62,54.19,54.59,36.13,14.95,275,-253.8,27.82,26.23,2.353,0.7624,38.75,2.525,1.393,268.2,141.4,6.8,1.4,43.3,38.5,89.1,102.8,3,49,5.7,146.1,57.4,64.3,45,43,9.559,7.526,10.46,20,0,121.2,115.3,141.9,77.1,2.8,4.3,40,0,100,5,49,31,19,59.05,79.94,55.87,55.32,17.17,56.47,242.6
96,50,54.91,55.2,50.63,50.8,85.08,84.9,88.07,87.8,86.98,62.82,54.76,55.08,33.32,12.18,269.4,-248.2,25.14,24.28,1.869,1.003,40.38,2.189,1.606,267.7,141.2,7.1,1.8,43.6,38.8,89.6,103.7,3.7,49.8,6.3,149.4,59.8,65,46,44,11.65,9.945,10.32,20,0,122,115.6,141.4,101.6,2.9,4.6,30,0,100,5,49,31,19,59.09,81.41,56.36,55.81,13.09,44.85,243.5
98,50,55.32,55.5,50.84,50.6,85.21,84.9,88.32,88.2,87.06,63.19,55.09,55.49,34.75,14.03,266.7,-246,26.14,24.8,2.332,0.9945,41.15,2.233,1.574,268.2,140.1,7,1.7,43.8,39,89.9,104.2,4.1,49.6,6,149,59.5,65.4,47,45,10.86,8.885,10.19,20,0,122.2,116,141.9,101.6,3.1,4.7,30,0,100,5,49,31,19,59.09,80.88,56.77,56.18,15.45,55.96,243.2
100,50,55.28,55.5,50.8,50.8,85.33,85.1,88.44,88.2,87.18,63.19,55.05,55.41,35.04,14.15,270.3,-249.4,26.26,24.92,2.102,0.7586,41.59,2.22,1.584,270.4,140.7,7,2,43.8,39,90.2,104.7,4.4,49.6,6,148.7,58.5,65.9,47,45,10.72,8.701,10.19,20,0,122.7,116,142.4,102.8,2.9,4.7,30,0,100,5,49,31,19,59.13,80.43,56.77,56.22,15.94,50.44,245.5
102,50,55.28,55.3,50.8,50.8,85.33,85.1,88.44,88.5,87.14,63.23,55.05,55.45,34.75,14.49,267.1,-246.9,26.51,25.15,2.365,1.009,41.99,2.22,1.584,268.1,142.1,6.8,1.4,44,39.2,89.9,104.2,4.1,49.8,5.7,148.7,58.4,65.5,47,45,13.03,10.67,10.19,20,0,123,116.4,142.4,102.4,3.4,4.5,30,0,100,5,49,31,19,59.17,80.47,56.81,56.22,16.32,56.75,242.9
104,50,55.15,55.2,50.72,50.6,85.33,85.1,88.48,88.2,87.18,63.15,54.92,55.32,35.3,14.53,269.3,-248.5,26.05,24.7,2.345,1,41.72,2.195,1.602,268.9,140.9,7,2,43.8,39,90.2,104.7,3.9,49.8,6,147.6,57.8,65.9,47,45,9.165,7.384,10.19,20,0,123,116.7,142.4,101.9,2.9,4.7,30,0,100,5,49,31,19,59.17,80.1,56.65,56.14,16.66,56.27,244.2
106,50,55.15,55.3,50.68,50.6,85.33,85.1,88.44,88.2,87.18,63.07,54.88,55.32,34.85,14.07,270.2,-249.4,26.21,24.63,2.577,0.9972,41.4,2.226,1.58,268.9,140.5,6.6,2,43.8,39,90.2,104.7,4.2,49.6,6,148.3,57.4,65.7,47,45,11.02,8.992,10.19,20,0,123.5,116.7,141.4,101.3,3.1,4.9,30,0,100,5,49,31,19,59.17,80.23,56.65,56.06,16.04,61.86,244.4
108,49,55.11,55.3,50.68,50.6,85.25,83.5,88.44,87.5,87.18,63.11,54.88,55.32,35.88,14.11,270.6,-248.8,25.89,24.56,2.57,1.233,44.19,2.06,1.707,269.8,140.1,7.5,1.4,43.1,38.2,88.9,102.3,3.1,49.6,6.5,148.3,59.1,63.5,48,46,9.083,7.2,10.06,20,0,123.7,117.1,141.4,101.9,4.2,4.7,20,0,100,26.03,49,31,20,59.17,80.39,56.65,56.1,15.96,61.68,245.3
110,49,57.65,58,50.1,49.5,82.46,82.3,87.46,87.7,85.95,69.95,57.63,57.82,55.75,16.76,178.7,-139.7,44.22,44.08,1.141,0.9981,52.39,2.968,1.185,268,140.6,6.4,3.2,43.2,38.2,91.2,106.7,6.5,48,4.9,137.8,46.6,67.9,59,57,11.84,6.04,8.75,20,0,123.5,117.1,141.9,102.6,5.4,8.5,30,0,100,32.24,49,31,20,59.17,79.16,58.21,57.98,20.12,27.38,201.9
