Time,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance,Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
103.6,50,75.34,75.6,75.32,75.2,74.93,74.7,75.01,74.7,74.74,74.86,75.31,75.39,0.6327,2.159,1.001,-0.5248,0.1338,-0.08705,0.6516,0.4308,1.68E-45,0.4703,1.68E-45,189.8,217.3,0.8,0,74.6,78.3,70.9,73,0,86.8,12.2,75.9,5,0,0,0,0,0,23.27,6,0,119.2,93.5,73,0,0.3,0.2,0,0,100,100,56,56,30,69.36,73.8,75.48,75.34,11.68,15.64,187.7
113.6,50,75.3,75.4,75.32,75.2,74.85,74.4,74.97,74.7,74.61,74.78,75.27,75.35,0.9557,2.802,1.323,-0.5236,0.2381,-0.4599,0.6539,0.4321,1.68E-45,0.8373,1.68E-45,189.5,218.3,0.7,0,74.5,78.1,70.9,72.5,0,86.8,12.3,75.9,5,0,0,0,0,0,23.27,6,0,119.2,93.5,72.5,0,0.3,0.2,0,0,100,100,56,56,30,67.64,73.47,75.48,75.34,11.54,15.69,178.5
123.6,50,75.3,75.6,75.28,75,74.76,74.4,74.93,74.6,74.49,74.74,75.27,75.35,1.279,3.451,1.971,-0.2004,0.1334,-0.0868,0.6492,0.429,1.68E-45,0.4689,1.68E-45,189.6,216.7,0.8,0,74.4,78,70.9,72.5,0,86.8,12.3,75.9,5,0,0,0,-0.9821,-21.83,23.27,6,0,119.5,93.5,72.5,0,0.2,0.4,0,0,100,100,56,56,30,65.84,73.02,75.44,75.3,11.54,15.58,187.5
133.8,50,75.26,75.2,75.28,75,74.68,74.3,74.84,74.4,74.33,74.66,75.23,75.3,1.278,4.094,2.615,-0.2011,0.2381,-0.4582,0.6517,0.4316,1.68E-45,0.8371,1.68E-45,189.4,217.7,0.8,0,74.4,78,70.6,72,0,86.6,12.3,76,5.3,0,0,0,-0.9764,-21.73,23.27,6,0,119.5,93.7,72.5,0,0.1,0.4,0,0,100,100,56,56,30,64.53,72.32,75.4,75.26,12.61,15.64,178.5
143.6,50,75.22,75.2,75.24,74.9,74.56,73.9,74.76,74.3,74.16,74.49,75.19,75.26,1.6,4.737,2.613,-0.5235,0.2361,-0.4555,0.6478,0.4285,1.68E-45,0.8302,1.68E-45,189.3,216.4,0.7,0,74.3,77.7,70.3,71.5,0,86.3,12,76,5.7,0,0,0,-2.11,-37.5,23.27,6,0,119.7,93.7,72,0,0.4,0.2,0,0,100,100,56,56,30,63.18,71.71,75.4,75.22,13.33,15.55,178.3
153.6,50,75.18,75.2,75.2,74.9,74.44,73.8,74.64,74.3,73.96,74.37,75.15,75.22,1.6,5.384,3.26,-0.5237,0.2369,-0.4564,0.6489,0.4294,1.68E-45,0.8328,1.68E-45,189.4,216.6,0.8,0,74.1,77.5,70.6,72,0,85.8,11.7,76.2,5.4,0,0,0,-2.111,-37.51,23.27,6,0,119.7,93.5,72,0,0.4,0.1,0,0,100,100,56,56,30,62.12,71.01,75.36,75.18,14.52,15.57,178.4
163.6,50,75.13,75,75.16,74.7,74.36,73.8,74.56,74.1,73.79,74.21,75.07,75.1,1.597,6.018,3.254,-1.168,0.2379,-0.8291,0.28,-0.3112,1.68E-45,0.8365,1.68E-45,189,217.6,0.8,0,73.9,77.2,70.6,72,0,85.4,11.4,76.2,5.9,0,0,0,-2.097,-37.36,23.27,6,0,119.9,93.5,72,0,0.1,0.3,0,0,100,100,56,56,30,61.38,70.52,75.28,75.1,15.8,6.719,169.1
173.6,50,75.05,75,75.08,74.7,74.23,73.6,74.48,73.9,73.55,74.04,74.99,75.06,1.928,7.34,3.916,-1.496,0.239,-0.8335,0.6553,0.06086,1.68E-45,0.8403,1.68E-45,189.8,218.6,0.8,0,73.8,77,70.3,71.5,0,84.8,11,76.4,6.1,0,0,0,-3.263,-48.13,23.27,6,0,119.7,93.7,71.5,0,0.3,0.4,0,0,100,100,56,56,30,60.68,69.95,75.24,75.06,19.01,15.73,169.8
183.6,50,74.97,74.7,75,74.7,74.07,73.5,74.35,73.8,73.47,73.92,74.91,74.94,2.247,7.001,3.585,-1.17,0.2374,-0.8294,0.2806,-0.3113,1.68E-45,0.8348,1.68E-45,189.4,217.6,1,0,73.7,76.9,70.3,71.5,0,84.3,10.6,76.4,6.1,0,0,0,-4.384,-55.49,23.27,6,0,119.7,93.5,71.5,0,0.3,0.2,0,0,100,100,56,56,30,60.11,69.46,75.12,74.93,17.98,6.735,169.5
193.9,50,74.89,74.7,74.91,74.6,73.95,73.1,74.23,73.6,73.26,73.76,74.78,74.85,2.246,7.644,3.905,-1.492,0.236,-1.193,0.648,-0.3094,1.68E-45,0.8297,1.68E-45,189.3,216.3,0.9,0,73.5,76.5,69.5,70.5,0,84,10.4,76.4,7,0,0,0,-4.382,-55.49,23.27,6,0,119.9,93.5,71,0,0.5,0.3,0,0,100,100,56,56,30,59.74,69.09,75.03,74.85,19.63,15.55,160.7
203.6,50,74.77,74.6,74.83,74.4,73.78,73.1,74.11,73.5,73.06,73.59,74.7,74.77,2.584,8.338,4.253,-1.501,0.6068,-1.197,0.6493,0.0593,1.68E-45,2.134,1.68E-45,190.4,216.9,1,0,73.4,76.4,69.5,70.5,0,83.7,10.3,76.7,7.2,0,0,0,-5.571,-61.31,23.27,6,0,119.9,93.7,71,0,0.4,0.2,0,0,100,100,56,56,30,59.33,68.68,74.95,74.77,21.41,15.58,161.7
213.6,50,74.68,74.4,74.71,74.4,73.7,72.8,73.94,73.1,72.93,73.51,74.62,74.65,1.925,7.976,4.556,-1.494,0.237,-0.8261,0.2795,-0.3095,1.68E-45,0.8334,1.68E-45,189.5,216.8,1.1,0,73.3,76.2,69.5,70.5,0,83.3,10.1,76.7,7.3,0,0,0,-3.252,-48.05,23.27,6,0,119.7,93.7,71,0,0.3,0,0,0,100,100,56,56,30,59.05,68.35,74.87,74.73,20.57,6.708,169.7
223.6,50,74.6,74.4,74.67,74.1,73.54,72.8,73.82,73.1,72.81,73.35,74.5,74.57,2.258,8.011,4.252,-1.501,0.6102,-1.574,0.6528,-0.3112,1.68E-45,2.145,1.68E-45,190.4,217.9,1.1,0,73.2,76,69.2,70,0,83,9.8,76.8,7.3,0,0,0,-4.422,-55.71,23.27,6,0,119.5,93.4,70,0,0.3,0.1,0,0,100,100,56,56,30,58.84,68.11,74.75,74.61,20.75,15.67,152.6
233.6,50,74.52,74.3,74.59,74.1,73.41,72.7,73.74,72.8,72.69,73.27,74.41,74.49,2.566,8.28,4.546,-1.167,0.6112,-1.577,0.6545,-0.3117,1.68E-45,2.149,1.68E-45,189.1,218.3,1.3,0,73,75.7,69.5,70.5,0,82.8,9.8,76.8,7.3,0,0,0,-5.507,-61.03,23.27,6,0,119.2,93.5,70.5,0,0.1,0,0,0,100,100,56,56,30,58.6,67.9,74.67,74.48,21.35,15.71,151.2
243.6,50,74.4,74.1,74.51,74.1,73.29,72.5,73.58,72.8,72.52,73.14,74.29,74.32,2.242,8.275,4.865,-1.168,0.9714,-1.926,0.2779,-0.6762,1.68E-45,3.416,1.68E-45,189,215.6,1.3,0,72.8,75.4,69.2,70,0,82.7,9.8,76.8,7.8,0,0,0,-4.368,-55.4,23.27,6,0,119,93.7,70,0,0.3,0,0,0,100,100,56,56,30,58.43,67.7,74.58,74.4,21.44,6.671,142.7
253.9,50,74.32,74.1,74.38,73.8,73.13,72.5,73.49,72.7,72.4,72.98,74.17,74.24,2.896,8.625,4.558,-1.171,0.6058,-1.936,0.6494,-0.6805,1.68E-45,2.13,1.68E-45,189.6,216.8,1.1,0,72.8,75.4,69.2,70,0,82.3,9.7,77,7.9,0,0,0,-6.666,-65.47,23.27,6,0,119,93.5,70,0,0.4,0.2,0,0,100,100,56,56,30,58.31,67.49,74.46,74.28,22.54,15.58,143.1
263.6,50,74.23,73.9,74.3,73.8,73.05,72.3,73.37,72.5,72.24,72.81,74.09,74.12,2.58,8.975,4.571,-1.824,0.606,-1.933,0.2796,-1.048,1.68E-45,2.131,1.68E-45,190.1,216.4,1.2,0,72.5,75.1,68.8,69.5,0,82.3,9.7,77.1,8.3,0,0,0,-5.555,-61.24,23.27,6,0,118.8,93.4,69.5,0,0.3,0.1,0,0,100,100,56,56,30,58.19,67.33,74.34,74.16,23.56,6.71,143.8
273.6,50,74.11,73.8,74.18,73.6,72.92,72.3,73.21,72.5,72.12,72.69,74,74.04,2.259,8.662,4.577,-1.826,0.6065,-1.565,0.2798,-0.6789,1.68E-45,2.132,1.68E-45,190.4,216.6,1.1,0,72.5,74.9,69.2,70,0,82.3,9.8,77.1,8.1,0,0,0,-4.428,-55.74,23.27,6,0,118.5,93.7,70,0,0.3,0.2,0,0,100,100,56,56,30,58.1,67.12,74.21,74.07,23.05,6.716,152.8
283.6,50,74.03,73.8,74.1,73.6,72.84,72.2,73.13,72.2,71.99,72.61,73.88,73.95,2.251,8.953,4.884,-1.819,0.6099,-1.946,0.6526,-0.6839,1.68E-45,2.144,1.68E-45,189.7,218,1.2,0,72.4,74.8,68.8,69.5,0,82.2,9.9,77.3,8.5,0,0,0,-4.397,-55.57,23.27,6,0,118.1,93.5,69,0,0.4,0.2,0,0,100,100,56,56,30,57.98,67,74.09,73.95,23.82,15.66,142.9
293.6,50,73.86,73.6,73.97,73.5,72.68,71.8,73,72.2,71.87,72.49,73.76,73.83,2.571,8.945,4.88,-1.494,0.9844,-1.952,0.6548,-0.3127,1.68E-45,3.461,1.68E-45,189.5,218.6,1.1,0,72.4,74.8,68.5,69.5,0,82.2,9.6,77.3,8.8,0,0,0,-5.525,-61.11,23.27,6,0,117.8,93.5,69.5,0,0.4,0.1,0,0,100,100,56,56,30,57.9,66.88,74.01,73.87,23.91,15.71,142.7
303.6,50,73.78,73.6,73.85,73.3,72.55,71.8,72.84,72.2,71.75,72.36,73.68,73.75,2.257,8.653,4.897,-1.499,0.6039,-1.558,0.6456,-0.3085,1.68E-45,2.123,1.68E-45,190.2,215.7,1,0,72.3,74.6,68.5,69,0,82,9.9,77.5,9,0,0,0,-4.42,-55.69,23.27,6,0,117.6,93.5,68.5,0,0.4,0.1,0,0,100,100,56,56,30,57.82,66.71,73.89,73.75,23.34,15.49,152.8
313.9,50,73.66,73.3,73.77,73.3,72.43,71.8,72.76,71.8,71.62,72.24,73.55,73.63,2.569,8.936,4.875,-1.492,0.9743,-1.932,0.6475,-0.31,1.68E-45,3.426,1.68E-45,189.3,216.3,1.2,0,72.1,74.3,68.5,69,0,81.8,9.9,77.5,9.1,0,0,0,-5.518,-61.08,23.27,11,0,117.6,93.4,69,0,0.1,0.2,0,0,100,100,56,56,30,57.74,66.59,73.85,73.66,24.22,15.54,142.9
323.6,50,73.62,73.3,73.65,73.1,72.31,71.7,72.59,71.8,71.46,72.16,73.47,73.54,2.231,8.877,5.484,-1.162,0.2376,-1.57,0.6508,-0.6815,1.68E-45,0.8353,1.68E-45,188,217.2,1,0,72.1,74.3,68.8,69,0,81.8,9.7,77.5,8.8,0,0,0,-4.329,-55.18,23.27,11,0,117.4,93.5,69,0,0.1,0.2,0,0,100,100,56,56,30,57.65,66.47,73.72,73.54,24.17,15.62,150.4
333.6,50,73.46,73.1,73.56,73,72.19,71.5,72.51,71.8,71.38,72.04,73.39,73.42,2.575,8.959,5.211,-1.173,0.9726,-1.56,0.278,-0.3096,1.68E-45,3.42,1.68E-45,189.8,216.1,1.1,0,71.9,74.1,68.5,69,0,81.7,9.8,77.6,9.1,0,0,0,-5.538,-61.17,23.27,11,0,116.9,93.5,69,0,0.3,0.3,0,0,100,100,56,56,30,57.61,66.39,73.64,73.42,24.5,6.673,152.4
343.6,50,73.37,73,73.44,72.8,72.06,71.4,72.39,71.5,71.26,71.96,73.27,73.3,2.577,8.962,5.537,-0.8486,0.6095,-1.572,0.2807,-0.6823,1.68E-45,2.143,1.68E-45,189.9,217.7,1.2,0,71.8,73.8,68.8,69.5,0,81.7,9.8,77.8,8.4,0,0,0,-5.543,-61.19,23.27,15,0,116.7,93.7,83.4,7.8,0.3,0,0,0,100,100,56,56,30,57.57,66.31,73.48,73.34,24.63,6.736,152.1
353.6,50,73.25,73,73.32,72.8,71.94,71.2,72.31,71.5,71.13,71.83,73.19,73.22,2.903,9.292,5.54,-0.8497,0.6047,-1.192,0.2785,-0.3084,1.68E-45,2.126,1.68E-45,190,216,0.9,0,71.8,73.8,68.5,70,0,81.5,9.7,77.8,9.3,0,0,0,-6.689,-65.55,23.27,15,0,116.4,93.5,125.6,50.8,0.3,0.3,0,0,100,100,56,56,30,57.53,66.18,73.4,73.26,25.78,6.684,161.4
363.6,50,73.13,72.8,73.2,72.7,71.82,71.1,72.14,71.5,71.05,71.71,73.06,73.13,2.581,8.654,5.222,-0.8506,0.6036,-1.19,0.6453,0.05894,1.68E-45,2.122,1.68E-45,190.2,215.6,1.1,0,71.6,73.5,69.2,70,0,81.2,9.6,77.9,8.6,0,0,0,-5.559,-61.26,23.27,15,0,116.2,93.5,127.5,52.7,0.4,0.1,0,0,100,100,56,56,30,57.49,66.1,73.27,73.13,24.12,15.49,161.6
373.9,50,73.05,72.7,73.15,72.5,71.73,71.1,72.06,71.5,70.93,71.59,72.94,73.01,2.567,8.929,5.194,-1.168,0.9818,-1.947,0.6531,-0.3118,34.42,0.1003,34.42,189.2,218,3.2,0,69.3,70.1,70.9,72.5,0,80.8,11.7,77.8,7,2.7,39,38,28.91,320.3,11.2,20,0,116,93.5,143.9,72.2,0.4,0.2,0,0,100,100,56,56,30,57.45,66.02,73.19,73.05,25.01,15.67,142.4
383.6,50,72.96,72.7,73.03,72.2,71.65,71.1,72.06,72.7,70.8,71.46,72.86,72.93,3.232,9.958,5.225,-1.501,0.6064,-1.565,0.6483,-0.3098,33.38,0.06388,33.38,190.3,216.6,3.5,0,68.5,69,71.2,73,0,79.4,10.9,78.7,7.5,4,37,36,25.53,224.6,11.53,20,0,115.7,93.7,140.9,70.5,1.7,0.7,0,0,100,100,56,56,30,57.41,65.9,73.07,72.89,28.16,15.56,152.8
393.6,50,72.84,72.5,72.79,71.2,71.53,71.1,72.31,73.5,70.76,71.38,72.74,72.77,6.124,12.17,4.876,-1.17,0.5012,-0.4548,0.2781,-0.6779,32.78,0.05377,32.78,189.4,216.1,3.5,0,67.9,68.3,71.6,73.5,0,77.8,9.9,80.2,8.9,5.5,38,37,14.76,68.55,11.36,20,0,115.3,93.5,139.4,70.1,2.6,1.1,0,0,100,100,56,56,30,57.37,65.81,73.03,72.85,34.58,6.674,178.5
403.6,50,72.76,72.2,72.5,71.1,71.45,70.9,72.59,73.5,70.76,71.3,72.61,72.68,9.065,14.48,4.245,-1.174,2.362,1.027,0.6521,-0.6829,31.53,0.2633,13.35,190.1,217.7,3.2,0,67.7,68,71.2,73,0,76.4,8.5,83,11.8,5,36,35,7.966,24.99,11.7,20,0,115.1,93.7,138,69,2.6,1.1,0,0,100,100,56,56,30,57.37,65.77,72.9,72.68,41.35,15.65,165.4
413.6,50,72.6,72,72.13,70.8,71.37,71.4,72.88,73.6,70.97,71.3,72.49,72.52,11.94,15.08,2.615,-0.5244,4.199,3.24,0.2793,-0.6796,33.51,0.4406,7.98,189.4,216.7,3.6,0,67.2,67.3,71.6,73.5,0,75.2,7.8,86,14.7,6,37,36,6.279,14.95,11.53,20,0,114.7,93.7,139,70.4,2.4,1.2,0,0,100,100,56,56,30,57.33,65.81,72.7,72.56,42.65,6.704,111.7
423.6,50,72.43,71.7,71.8,70.3,71.45,71.4,73.13,74.1,71.21,71.38,72.28,72.36,13.2,15.04,1.318,-0.5223,5.703,4.369,0.652,-0.6821,32.27,0.6214,5.658,188.9,217.6,4,0,66.6,66.2,72.8,75.5,0,74.4,8,89.8,17.3,9.9,40,39,5.918,12.75,11.04,20,0,114.2,93.7,136.5,69.1,2.7,1.3,0,0,100,100,56,56,30,57.33,65.94,72.54,72.4,41.91,15.65,84.02
433.9,50,72.27,71.5,71.48,70.1,71.49,71.4,73.37,74.9,71.46,71.46,72.12,72.19,14.86,15.09,0.02965,-0.2013,7.137,5.811,0.6479,-0.6773,32.25,0.7779,4.52,189.6,216.1,3.2,0,67.1,66.9,71.9,74,0,73.3,6.7,93.7,22.2,8.6,38,37,5.096,9.752,11.36,20,0,114,94.1,138,69.8,3.4,1.4,0,0,100,100,56,56,30,57.29,66.06,72.41,72.19,41.28,15.55,50.08
443.6,50,72.06,71.5,71.11,69.8,71.53,71.5,73.74,75.2,71.75,71.55,71.92,71.99,17.48,15.77,1.59,0.1229,8.585,7.264,0.6454,-0.6752,33.54,0.9,3.907,189.9,215.4,3.5,0,66.3,66.1,72.5,75,0,72.7,6.3,97.7,25.1,9.3,37,36,2.254,3.666,11.53,20,0,113.6,93.9,137,70,3.8,1.7,0,0,100,100,56,56,30,57.29,66.22,72.21,71.99,42.34,15.49,15.58
453.6,50,71.9,71.2,70.78,69.4,71.61,71.7,74.03,74.9,71.99,71.63,71.75,71.82,19.15,16.13,2.893,0.1232,10.04,8.724,0.6445,-0.6744,34.67,1.018,3.452,190.4,215.1,5.2,0.1,64.7,63.2,75,78.9,0.8,72.2,8,101.9,27.1,15.9,44,42,2.655,3.944,10.6,20,0,113.3,94.1,136.5,71.9,3.1,1.8,0,0,100,100,56,56,30,57.29,66.39,72.04,71.86,42.54,15.47,-18.99
463.6,50,71.74,71.2,70.45,69,71.69,71.8,74.27,76,72.32,71.75,71.55,71.62,20.34,15.4,4.494,0.4453,11.51,9.823,0.6439,-1.042,33.45,1.21,2.907,189.4,215.1,4.1,0,64.9,64.1,74.1,77.5,0.2,71.4,6.9,105.9,32,13.7,40,39,2.396,3.35,11.04,20,0,113.3,94.3,137,72.1,4,2.4,60,90,100,60,50,56,20,57.24,66.55,71.84,71.7,39.72,15.45,-46.35
473.6,49,71.57,71.1,70.08,68.6,71.78,72.2,74.64,76.5,72.61,71.87,71.42,71.46,22.6,16.05,5.786,0.7689,13.42,12.09,0.279,-1.048,40.9,1.154,3.048,189.4,216.4,6.3,0,62.3,60.6,76.3,80.9,3.1,70.8,8.3,109.4,32.5,19.2,40,39,8.622,10.85,11.04,20,0,113.1,94.4,136.5,75.3,4.3,2.5,60,90,100,59.75,49.97,56,20,57.2,66.71,71.68,71.49,40.49,6.695,-100.9
483.6,49,71.37,70.8,69.59,67.6,71.86,72,75.17,76.8,72.85,71.96,71.26,71.33,25.95,18.17,7.023,0.763,16,15.04,0.6479,-0.3094,36.9,1.524,2.306,187.9,216.3,5.4,0,61.8,60.3,74.1,77.5,0.3,70.1,8,112.7,38.8,17.2,38,37,1.891,2.072,11.36,20,0,112.7,94.4,135,74.1,4.8,3.3,60,90,100,59.49,49.93,56,20,57.2,66.88,71.51,71.37,45.07,15.55,-173
493.9,49,71.24,70.4,69.18,67.9,71.94,72.5,75.5,75.9,73.26,72,71.02,71.09,28.03,17.62,9.962,0.4447,18.48,16.43,0.644,-1.409,32.86,1.978,1.778,188.9,215.1,7.2,0,61,58.3,74.4,78.4,0.6,69.7,9.1,115.6,41.3,20.2,42,39,-0.6917,-0.7019,11.04,20,0,112.4,94.6,136.5,76.7,3.2,2.5,60,90,100,59.24,49.9,56,20,57.2,67.16,71.35,71.09,42.45,15.46,-122.7
503.6,49,71.04,70.1,68.85,68.1,72.19,73.1,75.66,77.3,73.79,72.12,70.85,70.88,27.81,14.95,13.39,-0.5307,19.62,17.93,0.2773,-1.411,41.61,1.658,2.121,191.9,215.5,11.1,0.6,57,53.8,77.9,83.4,5,69.4,12.1,118.3,39.7,29.1,40,39,12.81,13.1,11.04,20,0,112.4,94.8,136,81.5,4.2,2,60,90,100,58.98,49.86,56,20,57.16,67.57,71.88,70.84,34.46,6.392,-65.04
513.6,49,70.79,70.1,68.61,67,72.47,73.5,75.99,78.1,74.16,72.28,70.61,70.72,27.91,14.5,14.91,-1.5,19.61,17.92,1.013,-0.6758,36.99,1.864,1.886,190.3,215.4,12.2,0,54.2,50.9,77.9,83.4,4.1,68.6,14.1,120.9,43,31.3,42,40,7.819,7.968,10.89,20,0,112.4,94.8,133.5,81.9,5,3.3,60,90,100,58.73,49.83,56,20,57.12,68.11,74.09,70.8,31.69,7.383,-38.53
523.6,49,70.63,70.6,68.24,67.2,72.68,73.3,76.36,77.5,74.45,72.41,70.48,70.64,29.35,15.23,16.28,-2.16,21.55,20.22,1.387,0.05972,33,2.296,1.531,191.2,216.4,13,0,54.2,50.4,75.3,79.4,1.5,68.3,14.4,123.5,48.2,29.6,40,39,5.569,5.397,11.04,20,0,112.2,95,134,81.9,4.2,3.3,60,90,100,58.47,49.8,56,20,57.16,68.48,75.69,71.49,32.3,7.934,-46.26
533.6,49,70.55,70.3,67.99,67.9,72.88,73.5,76.69,77.8,74.9,72.45,70.36,70.6,30.15,14.16,19.43,-3.445,22.97,21.28,2.12,0.4281,41.73,1.935,1.817,190.1,215.9,14.6,0.8,53.3,49.3,78.6,84.4,4.8,68.1,14.4,125.5,46.9,33.1,42,40,16.49,15.55,10.89,20,0,112.2,95.3,134.5,84.9,4,2.4,60,90,100,58.22,49.76,56,20,57.12,69.01,77.12,72.27,28.6,10.49,-18.08
543.6,49,70.51,70.4,67.99,67,73.09,74.3,76.93,78.4,75.27,72.61,70.16,70.64,30.59,13.24,21.13,-3.783,22.69,19.51,4.347,1.169,38.63,2.065,1.703,190.8,216.8,13.1,1.7,53.7,49.8,80.1,86.9,6.3,67.9,14.1,127.7,47.3,37.6,49,47,10.87,10.11,9.926,20,0,111.8,95.5,133.5,83.1,4.1,3.6,60,90,100,57.97,49.73,56,20,57.12,69.54,77.94,72.89,25.59,20.64,14.61
