Time,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance,Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
103.6,50,66.29,67.2,66.36,66.7,66.74,66.4,66.86,66.8,67.2,67.25,66.68,66.99,0.8073,2.277,0.2984,3.383,0.5994,2.842,2.838,6.279,1.68E-45,2.108,1.68E-45,160.2,214.5,0.1,0,66.6,66.5,66.3,66,0,83.7,17.1,72,5.9,0,0,0,0,0,23.27,6,0,107.7,87.5,62.1,0,0.3,0.5,0,0,100,100,45,56,30,64.49,67.37,67.5,67.6,18.99,68.11,91.96
113.6,50,66.41,67.2,66.48,66.7,66.74,66.5,66.86,66.5,67.04,67.04,66.72,66.99,0.8088,1.186,0.0251,2.02,0.6036,2.12,2.485,5.208,1.68E-45,2.122,1.68E-45,160.5,215.6,0.2,0.1,66.6,66.4,66.6,66.5,0,83.5,16.9,72,5.9,0,0,0,0,0,23.27,6,0,107.5,87.5,62.1,0,0,0.4,0,0,100,100,45,56,30,63.43,66.8,67.46,67.56,8.45,59.63,109.6
123.6,50,66.54,67,66.52,66.7,66.7,66.2,66.86,66.7,66.87,66.92,66.76,66.99,1.081,0.09086,0.2985,1.47,0.1316,2.121,2.118,4.108,1.68E-45,0.4629,1.68E-45,160.2,215.7,0.2,0,66.4,66.1,66.3,66,0,83.3,17,72.2,5.7,0,0,0,-0.2833,-7.456,23.27,6,0,107.3,87.5,61.6,0,0.5,0.5,0,0,100,100,45,56,30,62.57,66.22,67.38,67.44,0.5965,50.83,109.3
133.6,50,66.62,67,66.6,66.5,66.66,66.4,66.82,66.4,66.71,66.75,66.76,66.99,1.076,0.7257,0.2971,0.6476,0.133,1.394,2.131,3.392,1.68E-45,0.4677,1.68E-45,159.5,217,0.3,0,66.4,66.2,66.3,66,0,83.2,16.9,72.2,5.9,0,0,0,-0.2678,-7.077,23.27,6,0,107.1,87.5,61.6,0,0,0.5,0,0,100,100,45,56,30,61.91,65.69,67.29,67.36,4.609,51.14,126
143.6,50,66.66,66.8,66.68,66.7,66.62,66.2,66.78,66.4,66.55,66.67,66.76,66.95,1.083,1.553,0.847,0.3775,0.2376,0.6561,1.767,2.661,1.68E-45,0.8355,1.68E-45,160.6,217.8,0.3,0,66.4,66.2,66,65.6,0,82.8,16.5,72.2,6,0,0,0,-0.2927,-7.686,23.27,6,0,106.7,87.3,61.1,0,0.3,0.1,0,0,100,100,45,56,30,61.3,65.24,67.25,67.36,9.453,42.41,144.8
153.6,50,66.7,66.8,66.68,66.7,66.53,66.1,66.7,66.4,66.42,66.55,66.8,66.95,1.095,1.846,0.8562,0.105,0.1327,1.021,1.387,2.275,1.68E-45,0.4664,1.68E-45,162.3,216.5,0.5,0,66.2,65.9,66,65.6,0,82.3,16.3,72.3,6.2,0,0,0,-0.334,-8.677,23.27,6,0,106.5,87.5,61.6,0,0.2,0.1,0,0,100,100,45,56,30,60.81,64.79,67.25,67.28,11.12,33.29,137.8
163.6,50,66.74,67,66.73,66.7,66.49,66.1,66.66,66.4,66.3,66.47,66.8,66.95,1.082,2.372,1.12,-0.1703,0.1338,0.6551,1.394,1.915,1.68E-45,0.4706,1.68E-45,160.4,217.5,0.5,0,66,65.7,66.3,66,0,82.2,16,72.2,5.9,0,0,0,-0.2884,-7.582,23.27,6,0,106.5,87.5,61.1,0,0.3,0.3,0,0,100,100,45,56,30,60.48,64.5,67.21,67.24,14.15,33.45,144.7
173.6,50,66.74,66.8,66.73,66.5,66.41,66.1,66.61,66.2,66.26,66.35,66.76,66.95,1.356,2.371,0.572,-0.4435,0.1332,0.2831,1.755,1.905,1.68E-45,0.4682,1.68E-45,160.4,216.4,0.7,0,66,65.7,65.6,65.1,0,81.5,15.3,72.3,6.3,0,0,0,-1.251,-26.24,23.27,6,0,106.1,87.5,61.6,0,0.1,0.1,0,0,100,100,45,56,30,60.15,64.22,67.17,67.2,14,42.13,153.6
183.6,50,66.74,66.8,66.73,66.5,66.33,65.9,66.57,66.1,66.1,66.26,66.76,66.95,1.631,3.197,1.121,-0.4441,0.1332,0.2833,1.756,1.906,1.68E-45,0.4685,1.68E-45,160.6,216.5,0.3,0,66.2,65.9,65.6,65.1,0,81,15,72.3,6.7,0,0,0,-2.219,-38.69,23.27,6,0,106.1,87.5,61.6,0,0.2,0.3,0,0,100,100,45,56,30,59.95,63.93,67.13,67.15,19.26,42.15,153.8
193.6,50,66.74,66.8,66.73,66.5,66.33,65.9,66.49,66.1,66.01,66.22,66.76,66.91,1.079,3.186,1.39,-0.7157,0.1333,0.2834,1.388,1.538,1.68E-45,0.4687,1.68E-45,160,216.6,0.5,0,66,65.6,66,65.6,0,80.8,14.8,72.5,6.3,0,0,0,-0.279,-7.351,23.27,6,0,105.9,87.5,61.6,0,0.2,0.3,0,0,100,100,45,56,30,59.78,63.77,67.13,67.11,19.19,33.3,153.2
203.6,50,66.7,66.8,66.73,66.5,66.29,65.8,66.45,66.1,65.93,66.18,66.72,66.87,1.087,3.481,1.674,-0.7204,0.2351,-0.08578,1.381,1.531,1.68E-45,0.8267,1.68E-45,161.1,215.5,0.7,0,65.8,65.4,66,65.6,0,80.2,14.2,72.5,6.5,0,0,0,-0.3054,-7.991,23.27,6,0,105.7,87.5,60.6,0,0.3,0.3,0,0,100,100,45,56,30,59.58,63.6,67.05,67.07,20.76,33.15,159
213.6,50,66.66,66.7,66.68,66.5,66.21,65.9,66.41,65.9,65.85,66.1,66.68,66.83,1.357,3.742,1.668,-0.7169,0.2339,-0.08588,1.374,1.522,1.68E-45,0.8225,1.68E-45,160.5,214.4,0.7,0.1,65.8,65.4,66,65.6,0,79.9,14.2,72.5,6.5,0,0,0,-1.256,-26.32,23.27,6,0,105.7,87.5,61.1,0,0,0.2,0,0,100,100,45,56,30,59.46,63.44,67.01,67.03,22.55,32.98,158.4
223.6,50,66.66,66.7,66.64,66.5,66.21,65.8,66.37,65.9,65.81,66.06,66.68,66.83,1.09,3.766,1.679,-0.9972,0.1325,0.2812,1.38,1.528,1.68E-45,0.4659,1.68E-45,161.5,215.3,0.6,0,65.8,65.4,65.6,65.1,0,79.7,13.7,72.7,7.1,0,0,0,-0.3171,-8.274,23.27,6,0,105.3,87.5,61.1,0,0.1,0.2,0,0,100,100,45,56,30,59.33,63.32,67.01,66.99,22.69,33.11,154.8
233.6,50,66.66,66.7,66.64,66.4,66.13,65.8,66.29,65.9,65.73,65.98,66.63,66.79,1.087,3.756,1.675,-0.995,0.133,-0.08659,1.385,1.165,1.68E-45,0.4678,1.68E-45,161.1,216.2,0.6,0,65.8,65.3,65.6,65.1,0,79.2,13.4,72.8,7.1,0,0,0,-0.3045,-7.97,23.27,6,0,105.5,87.3,60.6,0,0.3,0.3,0,0,100,100,45,56,30,59.21,63.19,66.93,66.95,22.63,33.24,159
243.6,50,66.58,66.7,66.56,66.4,66.08,65.6,66.29,65.8,65.65,65.9,66.59,66.71,1.351,4.273,1.662,-1.26,0.133,0.2822,1.016,1.165,1.68E-45,0.4675,1.68E-45,159.9,216.1,0.6,0,65.8,65.3,65.2,65.1,0,79.1,13.3,72.7,7.5,0,0,0,-1.234,-25.99,23.27,6,0,105.5,87.3,60.6,0,0.1,0.3,0,0,100,100,45,56,30,59.21,63.07,66.89,66.91,26.56,24.38,153.1
253.6,50,66.58,66.5,66.56,66.2,66,65.6,66.25,65.8,65.56,65.81,66.55,66.67,1.638,4.585,1.675,-1.271,0.1332,-0.08611,1.017,0.7975,1.68E-45,0.4682,1.68E-45,161.2,216.4,0.4,0,65.8,65.3,65.2,64.6,0,78.7,12.9,72.8,7.6,0,0,0,-2.243,-38.95,23.27,6,0,105.3,87.5,61.1,0,0.2,0.3,0,0,100,100,45,56,30,59.13,63.03,66.84,66.87,28.2,24.4,159.2
263.6,50,66.54,66.5,66.52,66.4,66,65.4,66.16,65.8,65.52,65.81,66.51,66.62,1.096,4.342,1.966,-1.281,0.1319,-0.08654,1.015,0.797,1.68E-45,0.4637,1.68E-45,162.5,216.1,0.4,0.2,65.8,65.3,66,65.6,0,78.6,13,73,7.4,0,0,0,-0.3366,-8.737,23.27,6,0,105.5,87.5,60.6,0,0.4,0.3,0,0,100,100,45,56,30,59.05,62.95,66.8,66.83,26.71,24.37,160.4
273.6,50,66.49,66.4,66.48,66.2,65.92,65.4,66.12,65.6,65.44,65.73,66.43,66.58,1.378,4.636,1.973,-1.285,0.1308,-0.4496,1.367,0.7866,1.68E-45,0.4598,1.68E-45,163.1,213.4,0.7,0,65.5,64.9,65.2,64.6,0,78.3,12.7,72.8,7.8,0,0,0,-1.329,-27.44,23.27,6,0,105.7,87.5,60.6,0,0,0.2,0,0,100,100,45,56,30,59,62.91,66.76,66.79,28.52,32.81,152.3
283.6,50,66.45,66.5,66.48,66.2,65.84,65.4,66.08,65.8,65.4,65.65,66.43,66.58,1.643,4.601,1.682,-1.276,0.2364,-0.4554,1.385,1.166,1.68E-45,0.8311,1.68E-45,161.8,216.1,0.7,0,65.5,64.9,65.6,65.1,0,78.3,12.8,73,7.5,0,0,0,-2.262,-39.15,23.27,6,0,105.7,87.3,60.1,0,0.2,0.3,0,0,100,100,45,56,30,58.96,62.87,66.72,66.74,28.3,33.23,150.9
293.6,50,66.41,66.4,66.44,66.2,65.8,65.3,66,65.6,65.36,65.65,66.35,66.5,1.37,4.331,1.961,-1.001,0.2362,-0.8238,1.384,0.7969,1.68E-45,0.8306,1.68E-45,162.1,216,0.7,0,65.5,64.9,65.2,64.6,0,78.1,12.6,73.1,7.9,0,0,0,-1.299,-26.98,23.27,6,0,105.7,87.5,60.1,0,0.2,0.2,0,0,100,100,45,56,30,58.92,62.78,66.72,66.7,26.93,33.23,142.3
303.6,50,66.37,66.4,66.4,66.2,65.72,65.3,65.96,65.6,65.32,65.57,66.35,66.5,1.644,4.327,1.682,-1.001,0.2354,-0.4536,1.38,1.162,1.68E-45,0.8277,1.68E-45,161.9,215.3,0.8,0,65.4,64.8,65.6,65.1,0,78.1,12.9,73.1,7.9,0.5,0,0,-2.265,-39.18,23.27,6,0,106.1,87.5,60.1,0,0.3,0.2,0,0,100,100,45,56,30,58.88,62.78,66.64,66.62,26.62,33.11,151
313.6,50,66.29,66.4,66.4,66.2,65.67,65.3,65.88,65.4,65.28,65.53,66.31,66.42,1.374,4.068,1.69,-1.004,0.9674,-0.8185,1.009,1.158,1.68E-45,3.401,1.68E-45,162.6,214.8,0.7,0,65.4,64.8,64.9,64.1,0,77.9,12.5,73.1,8.2,0.5,0,0,-1.315,-27.23,23.27,11,0,105.9,87.5,60.1,0,0.1,0.3,0,0,100,100,45,56,30,58.88,62.7,66.64,66.58,25.56,24.23,142.9
323.6,50,66.29,66.2,66.36,66.1,65.63,65.4,65.84,65.4,65.24,65.49,66.27,66.38,1.368,4.049,1.681,-0.9999,0.6015,-0.8202,1.013,0.7939,1.68E-45,2.115,1.68E-45,161.8,215.2,0.7,0,65.4,64.8,65.2,64.6,0,77.8,12.4,73.1,7.9,0,0,0,-1.294,-26.9,23.27,11,0,106.3,87.5,60.6,0,0.1,0.2,0,0,100,100,45,56,30,58.84,62.66,66.6,66.58,25.44,24.3,142.2
333.6,50,66.25,66.2,66.36,65.9,65.59,65.1,65.8,65.3,65.2,65.4,66.22,66.34,1.379,4.082,1.417,-1.286,0.9649,-1.182,1.007,0.7902,1.68E-45,3.393,1.68E-45,163.1,214.4,0.9,0,65.2,64.6,65.2,64.6,0,77.8,12.6,73.3,8.2,0,0,0,-1.333,-27.49,23.27,11,0,106.3,87.5,60.1,0,0,0.1,0,0,100,100,45,56,30,58.8,62.62,66.52,66.5,25.65,24.18,134.7
343.6,50,66.25,66.2,66.32,66.1,65.55,65.3,65.75,65.3,65.15,65.4,66.14,66.3,1.375,4.07,1.69,-1.004,0.6027,-1.556,1.38,0.4267,1.68E-45,2.119,1.68E-45,162.6,215.3,1,0,65.2,64.4,64.9,64.1,0,77.8,12.7,73.3,8.4,0,0,0,-1.318,-27.26,23.27,15,0,106.5,87.5,77.4,11.7,0.2,0.1,0,0,100,100,45,56,30,58.8,62.58,66.48,66.46,25.85,33.11,125.3
353.6,50,66.17,66.2,66.28,65.9,65.51,65.3,65.71,65.3,65.07,65.32,66.1,66.21,1.37,4.331,1.684,-1.278,0.9734,-1.56,1.016,0.4287,1.68E-45,3.422,1.68E-45,162.1,216,1,0,65.1,64.4,64.9,64.1,0,77.9,12.8,73.3,8.4,0,0,0,-1.299,-26.98,23.27,15,0,106.7,87.3,119.6,54.3,0.2,0.3,0,0,100,100,45,56,30,58.8,62.54,66.44,66.46,27.81,24.38,124.6
363.6,50,66.17,66.2,66.23,65.9,65.43,65,65.63,65.3,65.03,65.28,66.06,66.21,1.371,4.058,1.686,-1.002,0.6039,-1.557,1.382,0.4281,1.68E-45,2.123,1.68E-45,162.2,215.7,1.1,0,65,64.3,64.9,64.1,0,77.8,12.7,73.5,8.3,0,0,0,-1.303,-27.04,23.27,15,0,106.7,87.5,123.1,57.8,0.2,0.1,0,0,100,100,45,56,30,58.76,62.5,66.39,66.38,26.06,33.16,124.8
373.6,50,66.13,66.1,66.19,65.8,65.39,65.1,65.55,65.4,64.99,65.24,66.06,66.17,1.088,3.759,1.676,-0.9957,0.6025,-1.189,1.013,0.4268,30.3,0.0699,30.3,161.2,215.6,3.1,1.6,62.7,61.1,67,67,0,77.1,14.8,73.5,6.6,6.3,35,34,30,784.3,11.87,20,0,106.9,87.3,135.5,73.5,0.4,0.3,0,0,100,100,45,56,30,58.76,62.46,66.35,66.34,24.4,24.31,132.7
383.6,50,66.13,66.1,66.11,65.4,65.39,65,65.63,66.8,64.95,65.24,66.02,66.13,1.647,4.61,1.962,-1.001,0.1327,-0.8216,1.013,0.05894,30.18,0.01546,30.18,162.1,215.6,3.1,0.9,62.2,60.4,67.7,68,0,75.2,13,74.3,6.6,7.4,35,34,27.91,482,11.87,20,0,107.1,87.7,134,72.3,1.8,0.8,0,0,100,100,45,56,30,58.76,62.42,66.35,66.25,30.26,24.32,142.4
393.6,50,66.09,65.9,65.91,65,65.35,65,65.96,67.5,64.91,65.2,65.98,66.09,4.144,7.113,1.965,-1.004,1.607,0.6508,1.015,0.05961,30.05,0.188,18.71,162.4,216,3,0.6,61.8,59.9,68.1,68.5,0,72.8,11,75.7,7.1,8.7,35,34,21.13,145,11.87,20,0,107.3,87.7,130,69.1,2.5,1.1,0,0,100,100,45,56,30,58.72,62.42,66.27,66.25,46.18,24.37,146.8
403.6,50,66.04,65.8,65.7,64.7,65.31,64.8,66.29,67.6,64.95,65.12,65.94,66.01,6.635,9.049,1.133,-1.281,3.059,2.11,0.6426,-0.3063,29.14,0.3691,9.527,162.4,214.5,2.8,1.2,61.8,59.8,68.1,68.5,0,71.4,9.7,77.9,10,9.6,35,34,16.57,71.01,11.87,20,0,107.1,87.5,130.5,69.3,2.6,1.3,0,0,100,100,45,56,30,58.72,62.37,66.23,66.21,59.4,15.42,111.7
413.6,50,65.96,65.4,65.46,64.2,65.27,65.3,66.66,67.8,65.15,65.12,65.86,65.89,9.458,10.21,0.2531,-1.009,4.545,3.591,0.2768,-0.6767,31.9,0.501,7.018,163.3,215.5,3.2,1.4,61,58.8,69.2,70,0.4,70.1,8.7,80.8,11.8,11.4,35,34,14.62,43.98,11.87,20,0,107.1,87.5,129,68.9,2.4,1,0,0,100,100,45,56,30,58.68,62.5,66.15,66.13,64.17,6.644,77.07
423.7,50,65.84,65.4,65.13,63.9,65.31,65.6,66.98,68.4,65.4,65.24,65.73,65.85,11.28,10.65,1.076,-0.4464,6.402,5.444,1.017,0.05964,31.2,0.7215,4.873,161.4,216.1,3.5,2.5,60.4,58,70.9,72.5,0.9,68.9,8.7,84,13.3,14.3,39,38,14.06,35.46,11.2,20,0,107.1,87.7,131.5,72.2,2.8,1.5,0,0,100,100,45,56,30,58.68,62.62,65.94,66.01,64.81,24.41,30.72
433.6,50,65.72,65.4,64.84,63.4,65.39,65.6,67.31,69.4,65.73,65.36,65.61,65.72,12.94,10.65,2.454,-0.1711,7.861,6.906,1.014,0.05897,30.65,0.9018,3.899,161.5,215.7,2.7,0,60.7,58.3,67.4,67.5,0,67.8,7.1,87.5,20.4,9.5,38,37,12.8,28.13,11.36,20,0,107.1,87.8,128,68.5,3.8,2,0,0,100,100,45,56,30,58.68,62.78,65.86,65.89,62.27,24.33,-4.241
443.6,50,65.59,65,64.51,63.1,65.51,65.8,67.76,70,66.01,65.44,65.45,65.56,15.17,11.78,3.839,-0.4475,9.773,8.441,1.022,-0.3103,36.55,0.9403,3.739,161.8,217.3,3.5,0,59.6,56.9,69.5,70.5,0,66.7,7,91.4,22.1,12.8,37,36,17.57,32.94,11.53,20,0,107.1,87.7,131,73.1,4.4,2.1,0,0,100,100,45,56,30,58.68,62.95,65.78,65.76,66.2,24.53,-40.78
453.6,50,65.43,64.8,64.06,62.3,65.59,65.8,68.42,70.4,66.38,65.57,65.28,65.35,19.02,13.7,5.49,-0.1712,12.23,10.91,0.6435,-0.6739,34.92,1.231,2.856,161.6,214.8,3.9,0.5,58.4,55.4,70.9,72.5,0,66.1,8,95,24.3,18.6,44,42,11.04,16.52,10.6,20,0,106.9,88,130,73.3,4.3,2.5,0,0,100,100,45,56,30,58.64,63.15,65.66,65.6,72.79,15.44,-100.2
463.6,50,65.31,64.8,63.74,61.9,65.72,66.2,68.87,71.7,66.83,65.77,65.16,65.23,21.29,13.74,7.167,0.3813,14.1,12.78,0.645,-0.6765,34.16,1.451,2.422,162.2,215.5,3.1,0,58.6,55.7,70.6,72,0,65,6.4,98.4,28,16.1,39,38,8.884,11.87,11.2,20,0,106.7,87.8,131,74.1,5.5,3.1,60,90,100,60,43,56,20,58.64,63.36,65.45,65.43,69.86,15.48,-127
473.7,49,65.14,64.5,63.25,61.6,65.92,66.4,69.56,71.5,67.28,65.94,65,65.07,24.3,15.21,8.99,0.1036,16.95,15.64,0.6415,-0.6723,33.35,1.787,1.967,160.1,214.3,2.6,0,58.9,56.1,70.3,71.5,0,64.5,5.5,101.9,31.8,14.8,38,37,7.505,8.784,11.36,20,0,106.7,88.2,133,75.6,5,2.9,60,90,100,59.75,42.98,56,20,58.64,63.68,65.33,65.27,72.3,15.4,-118.4
483.6,49,64.94,64.2,62.79,61.7,66.13,66.8,70.01,71.4,67.86,66.18,64.75,64.82,26.02,14.43,11.21,0.378,19.3,17.61,0.6474,-1.047,36.28,1.871,1.88,160.6,216.1,5.3,2.1,56.4,53,73.5,76.5,1.4,64,7.8,104.9,32.4,23.8,46,44,12.68,13.87,10.32,20,0,106.5,88.2,134,79.5,4.9,2.5,60,90,100,59.49,42.97,56,20,58.64,63.97,65.12,65.15,64.92,15.54,-91.73
493.7,49,64.73,63.9,62.55,60.8,66.25,67.3,70.38,73,68.47,66.3,64.55,64.58,27.82,12.86,14.58,0.3798,19.71,18.02,0.2787,-1.418,35.8,1.936,1.816,161.5,216.6,4.2,0.5,56.4,53,72.8,76.5,2.2,63.3,7.2,107.5,34.9,23.8,44,42,7.299,7.462,10.6,20,0,106.5,88.5,131,77,5.7,3.3,60,90,100,59.24,42.95,56,20,58.64,64.3,65.29,64.94,54.51,6.688,-38.07
503.7,49,64.45,63.9,62.06,60.2,66.53,67.8,70.95,73.5,68.96,66.47,64.3,64.45,29.65,13.37,16.73,-0.4456,21.51,20.19,1.385,0.05961,35.53,2.129,1.652,161,216,3.7,0,56.5,53.2,72.8,75.5,2.2,62.6,6.1,110.3,37.5,22.7,40,39,6.924,6.643,11.04,20,0,106.3,88.5,135,80.5,5.7,3.7,60,90,100,58.98,42.93,56,20,58.64,64.75,66.6,64.78,52.47,18.26,-33.28
513.7,49,64.32,63.7,61.61,60.5,66.94,67.6,71.49,73.6,69.41,66.63,64.18,64.25,30.59,13.97,18.72,-2.101,24.35,23.03,0.6437,-0.6746,38.04,2.25,1.563,161.6,215,6.7,1.1,53.8,49.9,74.7,78.4,5,62.2,8.7,112.4,38,30.3,48,46,16.09,14.96,10.06,20,0,106.3,88.9,133.5,81.9,5.8,3.2,60,90,100,58.73,42.92,56,20,58.64,65.24,68.93,64.86,50.76,3.794,-37.16
523.6,49,64.2,63.4,61.32,59.9,67.15,68.1,71.94,74.7,70.03,66.67,63.89,64.13,31.98,12.76,22.39,-3.177,25.84,23.05,2.113,-0.6746,37.33,2.433,1.445,160.3,215.2,7.8,0,51.9,47.7,74.4,78,4.6,61.6,9.9,114.5,40.1,30.6,46,44,15.75,14.01,10.32,20,0,106.3,89,132,82.8,6.6,3.7,60,90,100,58.47,42.9,56,20,58.6,65.65,70.61,65.15,43.41,9.284,-4.678
533.7,49,63.96,63.7,60.91,59.4,67.44,68.7,72.55,75.4,70.48,66.8,63.65,64.04,34.31,13.91,24.68,-4.289,27.21,24.43,3.57,0.7906,43.39,2.205,1.595,160.9,214.5,9.7,0.9,49.9,45.3,76.3,80.9,6.8,60.9,11.2,115.7,39.4,35.8,45,43,18.45,15.29,10.46,20,0,106.3,89.2,130.5,84.1,6.8,4.3,60,90,100,58.22,42.88,56,20,58.64,66.14,71.64,65.76,44.49,14.59,1.643
543.7,49,63.87,64,60.5,59.4,67.76,68.9,73.21,75.9,71.01,66.96,63.44,64.04,36.39,14.69,27.07,-5.369,30.3,26.41,5.43,1.532,40.78,2.613,1.346,160.4,215.7,11.2,1.4,48.2,43.5,77.3,82.4,7.5,60.5,12.5,117.4,39.8,38.9,51,49,19.4,15.17,9.675,20,0,106.1,89.4,129,83.4,7,4.4,60,90,100,57.97,42.86,56,20,58.64,66.63,72.78,66.46,44.08,20.61,3.917
